bin_x,bin_y,gaze_x,gaze_y,err_x,err_y
6,6,344.5403137207031,328.50238037109375,2.590329586569453,-7.797346284098069
6,6,344.3966369628906,326.89385986328125,2.677581398208133,-6.71641965184881
6,6,341.61383056640625,330.85333251953125,6.342215438246001,-10.432703992226891
6,6,343.1352233886719,330.53460693359375,6.2158346779822296,-8.748092693677961
6,6,341.31512451171875,330.518798828125,6.868082697584725,-9.073906281925645
6,6,341.7073669433594,331.0146484375,4.512604655144628,-10.477034297180296
6,6,342.61334228515625,329.0777587890625,3.8942250809156462,-8.381602570691143
6,6,342.4493713378906,330.20025634765625,5.72119847209035,-8.375439069544939
6,6,343.029541015625,327.41107177734375,5.996774650591988,-6.139385494462545
6,6,343.46417236328125,326.7535400390625,5.544472816838265,-8.274594261202822
6,6,343.8409118652344,329.51788330078125,5.094836885357154,-11.083183868289836
6,6,343.56640625,327.2313232421875,5.438847691115882,-7.373852325738255
6,6,342.92230224609375,328.16168212890625,6.254353967154998,-6.101297720377147
6,6,341.4112854003906,331.66741943359375,6.446063000080926,-10.53518760717293
6,6,343.9766845703125,327.8631591796875,3.471187253368896,-7.126720655600195
6,6,343.8475646972656,328.89093017578125,5.647793188992921,-7.15283988638032
6,6,346.841064453125,320.9266357421875,2.1970014857408273,-6.498327236343755
6,6,345.8277893066406,321.1058349609375,4.293461959464423,-5.724508134006214
6,6,344.5740661621094,320.06158447265625,6.268671847055884,-4.045472381128832
6,6,344.513427734375,319.2811279296875,6.901916061612837,-2.802780230047915
6,6,347.2978515625,318.96490478515625,3.9788332850461643,-2.9962235238410244
6,6,348.8594665527344,320.869140625,2.20542559411291,-5.248653148625635
6,6,344.80865478515625,322.77911376953125,6.108700121085064,-7.484391951055386
6,6,347.10687255859375,316.8128662109375,3.4619829403140443,-1.9844300884044515
6,6,344.876953125,312.90380859375,4.552075608060932,0.9177049507491688
6,6,347.3353576660156,321.2952880859375,2.389160834070708,-7.512954453848295
6,6,347.56689453125,319.2462158203125,3.658375364254198,-4.690433214326674
6,6,345.3692321777344,318.76397705078125,6.010200328444512,-4.004630432883346
6,6,347.1883544921875,319.6124267578125,4.1094091193699,-4.936407474510247
6,6,347.20953369140625,321.52667236328125,3.970711483065543,-7.238128524852073
6,6,344.17987060546875,320.01422119140625,6.956544190437683,-5.554256250107983
6,6,342.56707763671875,317.13104248046875,8.587670456800709,-2.8258713988869317
6,6,346.5315246582031,318.22576904296875,4.650411159580415,-4.173761756571821
6,6,346.7127380371094,321.30169677734375,4.523639294991028,-7.619194464911061
6,6,344.02093505859375,320.86749267578125,7.466394480272982,-7.2400411153356
6,6,345.1924743652344,320.1312255859375,6.515519949904672,-6.825029855306411
