Button ID,x0,y0,x1,y1,Parent ID,xp,yp,zp,q1,q2,q3,q4,X,
-8,10,25,-10,-40,304,203.2666667,195,-15,1,0,0,0,2,E3
-7,10,25,-10,-40,304,179.4,195,-15,1,0,0,0,3,F3
-5,10,25,-10,-40,304,155.5333333,195,-15,1,0,0,0,4,G3
-3,10,25,-10,-40,304,131.6666667,195,-15,1,0,0,0,5,A3
-1,10,25,-10,-40,304,107.8,195,-15,1,0,0,0,6,B3
0,10,25,-10,-40,304,83.93333333,195,-15,1,0,0,0,7,C4
2,10,25,-10,-40,304,60.06666667,195,-15,1,0,0,0,8,D4
4,10,25,-10,-40,304,36.2,195,-15,1,0,0,0,9,E4
5,10,25,-10,-40,304,12.33333333,195,-15,1,0,0,0,10,F4
7,10,25,-10,-40,304,-11.53333333,195,-15,1,0,0,0,11,G4
9,10,25,-10,-40,304,-35.4,195,-15,1,0,0,0,12,A4
11,10,25,-10,-40,304,-59.26666667,195,-15,1,0,0,0,13,B4
12,10,25,-10,-40,304,-83.13333333,195,-15,1,0,0,0,14,C5
-11,5,40,-5,-40,304,248.8333333,130,-5,1,0,0,0,1,C3#
-9,5,40,-5,-40,304,224.6666667,130,-5,1,0,0,0,2,D3#
-6,5,40,-5,-40,304,176.3333333,130,-5,1,0,0,0,4,F3#
-4,5,40,-5,-40,304,152.1666667,130,-5,1,0,0,0,5,G3#
-2,5,40,-5,-40,304,128,130,-5,1,0,0,0,6,A3#
1,5,40,-5,-40,304,79.66666667,130,-5,1,0,0,0,8,C4#
3,5,40,-5,-40,304,55.5,130,-5,1,0,0,0,9,D4#
6,5,40,-5,-40,304,7.166666667,130,-5,1,0,0,0,11,F4#
8,5,40,-5,-40,304,-17,130,-5,1,0,0,0,12,G4#
10,5,40,-5,-40,304,-41.16666667,130,-5,1,0,0,0,13,A4#
-12,10,25,-10,-40,305,301,195,-15,1,0,0,0,0,C3
-10,10,25,-10,-40,305,277.1333333,195,-15,1,0,0,0,1,D3
-8,10,25,-10,-40,305,253.2666667,195,-15,1,0,0,0,2,E3
-7,10,25,-10,-40,305,229.4,195,-15,1,0,0,0,3,F3
-5,10,25,-10,-40,305,205.5333333,195,-15,1,0,0,0,4,G3
-3,10,25,-10,-40,305,181.6666667,195,-15,1,0,0,0,5,A3
-1,10,25,-10,-40,305,157.8,195,-15,1,0,0,0,6,B3
0,10,25,-10,-40,305,133.9333333,195,-15,1,0,0,0,7,C4
2,10,25,-10,-40,305,110.0666667,195,-15,1,0,0,0,8,D4
4,10,25,-10,-40,305,86.2,195,-15,1,0,0,0,9,E4
5,10,25,-10,-40,305,62.33333333,195,-15,1,0,0,0,10,F4
7,10,25,-10,-40,305,38.46666667,195,-15,1,0,0,0,11,G4
9,10,25,-10,-40,305,14.6,195,-15,1,0,0,0,12,A4
11,10,25,-10,-40,305,-9.266666667,195,-15,1,0,0,0,13,B4
12,10,25,-10,-40,305,-33.13333333,195,-15,1,0,0,0,14,C5
-11,5,40,-5,-40,305,298.8333333,130,-5,1,0,0,0,1,C3#
-9,5,40,-5,-40,305,274.6666667,130,-5,1,0,0,0,2,D3#
-6,5,40,-5,-40,305,226.3333333,130,-5,1,0,0,0,4,F3#
-4,5,40,-5,-40,305,202.1666667,130,-5,1,0,0,0,5,G3#
-2,5,40,-5,-40,305,178,130,-5,1,0,0,0,6,A3#
1,5,40,-5,-40,305,129.6666667,130,-5,1,0,0,0,8,C4#
3,5,40,-5,-40,305,105.5,130,-5,1,0,0,0,9,D4#
6,5,40,-5,-40,305,57.16666667,130,-5,1,0,0,0,11,F4#
8,5,40,-5,-40,305,33,130,-5,1,0,0,0,12,G4#
10,5,40,-5,-40,305,8.833333333,130,-5,1,0,0,0,13,A4#
0,11,70,-11,-54,311,13,120,0,1,0,0,0,,
2,11,70,-11,-54,311,-9.666666667,120,0,1,0,0,0,,
4,11,70,-11,-54,311,-32.33333333,120,0,1,0,0,0,,
5,11,70,-11,-54,311,-55,120,0,1,0,0,0,,
7,11,70,-11,-54,311,-77.66666667,120,0,1,0,0,0,,
9,11,70,-11,-54,311,-100.3333333,120,0,1,0,0,0,,
11,11,70,-11,-54,311,-123,120,0,1,0,0,0,,
0,11,70,-11,-54,310,13,-57,0,1,0,0,0,,
2,11,70,-11,-54,310,-9.666666667,-57,0,1,0,0,0,,
4,11,70,-11,-54,310,-32.33333333,-57,0,1,0,0,0,,
5,11,70,-11,-54,310,-55,-57,0,1,0,0,0,,
7,11,70,-11,-54,310,-77.66666667,-57,0,1,0,0,0,,
9,11,70,-11,-54,310,-100.3333333,-57,0,1,0,0,0,,
11,11,70,-11,-54,310,-123,-57,0,1,0,0,0,,
1,8,40,-8,-40,311,2,45,0,1,0,0,0,,
3,8,40,-8,-40,311,-24,45,0,1,0,0,0,,
6,8,40,-8,-40,311,-64,45,0,1,0,0,0,,
8,8,40,-8,-40,311,-89,45,0,1,0,0,0,,
10,8,40,-8,-40,311,-116,45,0,1,0,0,0,,
