bin_x,bin_y,gaze_x,gaze_y,err_x,err_y
8,7,409.21044921875,386.294677734375,2.863043285011713,-17.06883543400471
8,7,409.6985778808594,383.29669189453125,2.5731254850333585,-14.031253624189503
8,7,410.8783264160156,381.594482421875,3.939673211988463,-11.82037843438252
8,7,410.0756530761719,381.9239501953125,6.222640050001132,-11.91954488142602
8,7,412.4281311035156,382.619384765625,3.8203252253288724,-12.784242415388576
8,7,409.5668640136719,382.56610107421875,6.654373318866817,-13.084323546167923
8,7,414.2922058105469,381.511962890625,1.9507369404116162,-12.398667510020289
8,7,413.75830078125,382.38629150390625,3.9913879239196604,-9.77835971789392
8,7,414.0442199707031,378.94091796875,3.6408092593057404,-6.340272968699594
8,7,415.3033447265625,377.08685302734375,2.3816845034463654,-4.486208027293344
8,7,414.14739990234375,378.46038818359375,3.5376293276651154,-5.859743183543344
8,7,413.0560302734375,374.82183837890625,4.641633248558833,-2.2215326884259525
8,7,413.13592529296875,376.2880859375,4.7318843548356995,-3.692349732105299
8,7,414.34295654296875,381.08251953125,3.635479611731796,-8.49049305108332
8,7,415.47967529296875,375.87921142578125,2.522288376604706,-3.2896014339258954
8,7,413.3660583496094,377.35906982421875,4.659445743540289,-4.771877646515122
8,7,416.6118469238281,377.2659912109375,1.4377002590641155,-4.67778644184483
8,7,415.1182556152344,377.08795166015625,2.9609955665412144,-4.458884745349906
8,7,415.9656982421875,378.73394775390625,2.1432732359898523,-6.063996273792895
8,7,418.230224609375,384.2039794921875,-0.09153283479582797,-11.493143446767135
8,7,414.9259338378906,377.7132568359375,3.211357122874631,-4.9939870609208015
8,7,416.7735900878906,379.14239501953125,1.3486848734590353,-6.425284818177147
8,7,417.65325927734375,379.168212890625,0.4205860418764473,-6.447741576776025
8,7,416.98504638671875,378.80010986328125,1.0605796588277485,-6.077680076291188
8,7,421.0997314453125,377.03936767578125,-3.0541053997660015,-4.316937888791188
8,7,418.6089782714844,376.379150390625,-0.5633522259378765,-3.6567206036349376
8,7,416.72747802734375,379.2718505859375,1.3181480182027485,-6.549420798947438
8,7,419.57257080078125,377.9898681640625,-1.5269447552347515,-5.267438377072438
8,7,419.9607849121094,380.6898193359375,-1.8019708342777108,-8.006172473450931
8,7,419.543212890625,378.59735107421875,-1.1161707706365291,-6.005610287831075
8,7,434.9167785644531,350.98211669921875,-5.91203440947146,-15.520338228706237
8,7,431.7032165527344,351.71490478515625,-2.534768974457336,-10.743881580520394
8,7,436.4917297363281,351.27081298828125,-4.071748176707445,-7.11030872166333
8,7,400.42388916015625,353.656494140625,-0.7232368410962522,-8.692165363455672
8,7,401.0115966796875,351.6920166015625,-1.2877853751082284,-6.720601706671744
8,7,400.88250732421875,353.0501708984375,-1.1798605338519792,-8.06489915995212
8,7,437.1435546875,355.6292724609375,-2.7588575741798422,-3.1895907827222345
8,7,435.07501220703125,355.06097412109375,-0.8561768272757035,-2.804309810120799
8,7,434.6197204589844,354.53857421875,-0.8372860506570987,-2.753204295397495
8,7,433.71990966796875,353.604248046875,0.22379725011563778,-1.8029828066339633
