timestamp,pupil_hardware_timestamp,event_count,bin_count,button_id,active_model,Raw,Bias,Linear,Radial Concentric,Simple Radial,Raw 2,Radial Complete,Conic
1780934749.054508783,1780934157.053935051,0,2,A,Bias,15.440093162429267,15.440093162429267,15.440093162429267,15.440093162429267,15.440093162429267,15.440093162429267,15.440093162429267,15.440093162429267
1780934749.615316893,1780934157.604557037,1,2,A,Bias,156.48493196920035,149.44431282442298,149.44431282442298,149.44431282442298,149.44431282442298,156.48493196920035,149.44431282442298,149.44431282442298
1780934752.537505783,1780934160.567570925,2,5,LeftHybridRe,Radial Concentric,15.766446355305446,22.37037492948418,22.37037492948418,22.37037492948418,22.37037492948418,15.766446355305446,22.37037492948418,22.37037492948418
1780934756.359646802,1780934164.391427994,3,7,FartherHybridRe,Radial Concentric,19.164855226045194,19.931454544189275,19.931454544189275,20.40892131013395,19.931454544189275,19.164855226045194,19.931454544189275,19.931454544189275
1780934757.868618822,1780934165.892780066,4,7,UpHybridRe,Radial Concentric,20.52542922867164,17.07121876672921,17.07121876672921,17.778942428943928,17.07121876672921,20.52542922867164,17.07121876672921,17.07121876672921
1780934760.053818453,1780934168.069802999,5,8,FartherHybridRe,Radial Concentric,5.129939774631159,4.951922613840052,4.951922613840052,4.852480775409217,4.951922613840052,5.129939774631159,4.951922613840052,4.951922613840052
1780934761.664394825,1780934169.646091938,6,8,FartherHybridRe,Radial Concentric,16.967640555849318,11.738318729095193,11.738318729095193,12.426270045907735,11.824784739963007,16.967640555849318,11.738318729095193,11.738318729095193
1780934762.515185569,1780934170.511981010,7,8,FartherHybridRe,Radial Concentric,136.5904276195185,131.86268582275295,131.86268582275295,132.18526395566596,131.9496571127079,136.5904276195185,131.86268582275295,131.86268582275295
1780934764.787413495,1780934172.828995943,8,8,RightHybridRe,Radial Concentric,9.513956564725396,5.98431897501782,5.98431897501782,6.006357303106318,5.972219138789869,9.513956564725396,5.98431897501782,5.98431897501782
1780934777.803190743,1780934185.786176920,9,10,DownHybridRe,Radial Concentric,15.605914070569359,11.133977737745042,11.133977737745042,10.97532588018872,11.111043755522756,15.605914070569359,11.133977737745042,11.133977737745042
1780934781.218925162,1780934189.234539032,10,11,CloserHybridRe,Radial Concentric,17.48906653376676,28.806842141451046,28.806842141451046,31.16497174565347,29.102489287793862,17.48906653376676,28.806842141451046,28.806842141451046
1780934782.227433012,1780934190.290623903,11,11,CloserHybridRe,Radial Concentric,20.734030950022323,20.731756253478864,20.731756253478864,20.571582669744476,20.820784215875182,20.734030950022323,20.731756253478864,20.731756253478864
1780934784.497719100,1780934192.492645979,12,11,UpHybridRe,Radial Concentric,7.193990946796456,7.390023412696374,7.390023412696374,7.2666210646487635,7.395282290048251,7.193990946796456,7.390023412696374,7.390023412696374
1780934785.429706378,1780934193.448738098,13,11,UpHybridRe,Radial Concentric,11.175976051897909,10.4669175709835,10.4669175709835,10.627122176730785,10.485352197276963,11.175976051897909,10.4669175709835,10.4669175709835
1780934786.180120094,1780934194.219505072,14,11,UpHybridRe,Radial Concentric,59.612301606109824,57.131665338829656,57.131665338829656,57.07340710224355,57.119182603207754,59.612301606109824,57.131665338829656,57.131665338829656
1780934793.425935516,1780934201.450712919,15,11,CloserHybridRe,Radial Concentric,17.02716562768676,16.79769938883245,16.79769938883245,16.36046713167512,16.866793288103196,17.02716562768676,16.79769938883245,16.79769938883245
1780934794.037328912,1780934202.071413994,16,11,CloserHybridRe,Radial Concentric,61.68853060625246,61.51039755081119,61.51039755081119,60.68653695445853,61.68102535750754,61.68853060625246,61.51039755081119,61.51039755081119
1780934795.042506551,1780934203.107291937,17,11,CloserHybridRe,Radial Concentric,5.39312776632417,3.1503398450034186,3.1503398450034186,3.0020377075237077,3.1819181507742487,5.39312776632417,3.1503398450034186,3.1503398450034186
1780934800.792554669,1780934208.722599030,18,11,RightHybridRe,Radial Concentric,10.583980251497174,13.72186821563621,13.72186821563621,12.650126256280661,13.591860957095454,10.583980251497174,13.72186821563621,13.72186821563621
1780934802.483424862,1780934210.529232979,19,1,RightHybridRe,Bias,7.5057928472564726,7.5057928472564726,7.5057928472564726,7.5057928472564726,7.5057928472564726,7.5057928472564726,7.5057928472564726,7.5057928472564726
1780934804.011923401,1780934212.030827045,20,2,LeftHybridRe,Bias,7.423149494613652,3.7509406526021722,3.7509406526021722,3.7509406526021722,3.7509406526021722,7.423149494613652,3.7509406526021722,3.7509406526021722
