timestamp,pupil_hardware_timestamp,event_count,bin_count,active_model,num_bins,total_samples,current_rmse
1781085265.490069498,1781085255.270936966,142,38,Radial Complete,1433,12.451804676130687
1781085276.201598755,1781085282.165348053,144,ACTION_RESET_RESUME,0,0,0.0
1781085348.987571690,1781085353.766194105,168,ACTION_RESET_RESUME,0,0,0.0
