timestamp,pupil_hardware_timestamp,event_count,bin_count,button_id,active_model,Raw,Bias,Linear,Radial Concentric,Simple Radial,Raw 2,Radial Complete,Conic
1780936945.626299246,1780936353.604366064,0,2,LeftHybridRe,Bias,11.982131353837094,3.419752313617789,3.419752313617789,3.419752313617789,3.419752313617789,11.982131353837094,3.419752313617789,3.419752313617789
1780936946.263992825,1780936354.109865904,1,3,LeftHybridRe,Bias,23.458254223915304,24.244439664143723,24.244439664143723,24.244439664143723,24.244439664143723,23.458254223915304,24.244439664143723,24.244439664143723
1780936947.686426046,1780936355.685972929,2,3,DownHybridRe,Bias,14.176920417651772,10.924345049703298,10.924345049703298,10.924345049703298,10.924345049703298,14.176920417651772,10.924345049703298,10.924345049703298
1780936949.509471461,1780936357.417596102,3,4,B,Bias,13.27048517841298,12.958221089726536,12.958221089726536,12.958221089726536,12.958221089726536,13.27048517841298,12.958221089726536,12.958221089726536
1780936952.051012937,1780936360.004951954,4,5,DownHybridRe,Radial Concentric,10.799698663107705,9.618259751892072,9.618259751892072,8.540025283322029,9.618259751892072,10.799698663107705,9.618259751892072,9.618259751892072
1780936954.903600189,1780936362.817538023,5,6,A,Radial Concentric,10.49219832083686,10.096308929395203,10.096308929395203,8.325709336954574,8.874467917575123,10.49219832083686,10.096308929395203,10.096308929395203
1780936957.236013334,1780936365.235050917,6,6,UpHybridRe,Radial Concentric,13.342917730147974,12.65986076441638,12.65986076441638,11.206464922242173,11.381838886636643,13.342917730147974,12.65986076441638,12.65986076441638
1780936960.786990685,1780936368.623363018,7,7,LeftHybridRe,Radial Concentric,13.384650419392981,12.276069431606956,12.276069431606956,10.747909654262317,10.999346536992196,13.384650419392981,12.276069431606956,12.276069431606956
1780936961.736842734,1780936369.714363098,8,9,LeftHybridRe,Radial Concentric,16.84546559028998,15.467180925923362,15.467180925923362,14.699429956820191,14.49709748461629,16.84546559028998,15.467180925923362,15.467180925923362
1780936963.163250013,1780936371.025938034,9,9,LeftHybridRe,Radial Concentric,18.553460434875173,18.113035049550696,18.113035049550696,18.071852854294782,17.41010326587564,18.553460434875173,18.113035049550696,18.113035049550696
1780936964.284026508,1780936372.232059956,10,9,CloserHybridRe,Radial Concentric,18.928460332770797,18.623225022387714,18.623225022387714,18.61502071354685,17.920378874216745,18.928460332770797,18.623225022387714,18.623225022387714
1780936967.155466385,1780936374.969213963,11,9,CloserHybridRe,Radial Concentric,19.30447996666153,19.090568355723047,19.090568355723047,19.11690723744632,18.319458006217108,19.30447996666153,19.090568355723047,19.090568355723047
1780936972.966576401,1780936380.979630947,12,10,DownHybridRe,Simple Radial,18.782730956048063,17.648157360835107,17.648157360835107,17.47499614175625,16.318200581348478,18.782730956048063,17.648157360835107,17.648157360835107
1780936974.419408761,1780936382.390548944,13,10,LeftHybridRe,Simple Radial,19.34816646151461,18.015407949633598,18.015407949633598,17.821254290875878,16.57333166744509,19.34816646151461,18.015407949633598,18.015407949633598
1780936976.378313599,1780936384.332293034,14,10,RightHybridRe,Simple Radial,19.561038626528074,17.874046902381192,17.874046902381192,17.500444642265393,16.285797787118554,19.561038626528074,17.874046902381192,17.874046902381192
1780936982.976832533,1780936390.924074888,15,10,RightHybridRe,Simple Radial,19.918169231946766,17.957496046916614,17.957496046916614,17.464242389356208,16.24167446800345,19.918169231946766,17.957496046916614,17.957496046916614
1780936985.006347238,1780936392.945940971,16,10,LeftHybridRe,Simple Radial,20.317050874386084,16.856822486436617,16.856822486436617,15.056847062900337,14.188625539675959,20.317050874386084,16.856822486436617,16.856822486436617
1780936988.187869862,1780936394.557570934,17,10,LeftHybridRe,Simple Radial,20.34819577446136,16.86136916558843,16.86136916558843,15.060512434213377,14.180963927036938,20.34819577446136,16.86136916558843,16.86136916558843
