timestamp,pupil_hardware_timestamp,event_count,bin_count,button_id,active_model,Raw,Bias,Linear,Radial Concentric,Simple Radial,Raw 2,Radial Complete,Conic
1781000187.278859594,1781000212.238467932,0,2,LeftHybridRe,Bias,5.526340501198599,5.526340501198599,5.526340501198599,5.526340501198599,5.526340501198599,5.526340501198599,5.526340501198599,5.526340501198599
1781000189.028578671,1781000213.944991112,1,3,LeftHybridRe,Bias,5.481959462238404,4.259301328824836,4.259301328824836,4.259301328824836,4.259301328824836,5.481959462238404,4.259301328824836,4.259301328824836
1781000190.157442689,1781000215.045964003,2,4,RightHybridRe,Bias,7.241179255602577,5.476104481287927,5.476104481287927,5.476104481287927,5.476104481287927,7.241179255602577,5.476104481287927,5.476104481287927
1781000192.711510959,1781000217.613665104,3,6,RightHybridRe,Bias,8.356278681236937,5.915672103234604,5.915672103234604,5.915672103234604,5.915672103234604,8.356278681236937,5.915672103234604,5.915672103234604
1781000195.465977180,1781000220.411750078,4,7,DownHybridRe,Bias,9.417070756358438,6.279406205065678,6.279406205065678,6.25415933799302,6.279406205065678,9.417070756358438,6.279406205065678,6.279406205065678
1781000197.381671258,1781000222.308516026,5,7,UpHybridRe,Bias,9.715469263587707,6.046800095365151,6.046800095365151,5.977793391385947,6.046800095365151,9.715469263587707,6.046800095365151,6.046800095365151
1781000198.183412114,1781000223.159282923,6,7,UpHybridRe,Bias,10.018668681344142,5.851518539644379,5.851518539644379,5.766662974677686,5.851518539644379,10.018668681344142,5.851518539644379,5.851518539644379
1781000198.649382303,1781000223.614248037,7,7,UpHybridRe,Bias,14.483648860653123,9.961191968860401,9.961191968860401,9.816211055803453,9.961191968860401,14.483648860653123,9.961191968860401,9.961191968860401
1781000202.196470773,1781000227.072776079,8,9,CloserHybridRe,Bias,13.942120298562617,9.509796542823425,9.509796542823425,9.354135750581863,9.509796542823425,13.942120298562617,9.509796542823425,9.509796542823425
1781000205.251370899,1781000230.164863110,9,11,FartherHybridRe,Radial Concentric,13.196774636739963,9.506781432795437,9.506781432795437,9.284957233570355,9.507067342987218,13.196774636739963,9.506781432795437,9.506781432795437
1781000206.969126409,1781000231.896507025,10,12,A,Radial Concentric,13.674415087407487,10.079064178328574,10.079064178328574,10.644137504447572,10.00017480378909,13.674415087407487,10.079064178328574,10.079064178328574
1781000208.432548583,1781000233.443100929,11,15,B,Simple Radial,16.458640336816316,13.201798023267159,13.201798023267159,13.732774899606177,12.95249584305894,16.458640336816316,13.201798023267159,13.201798023267159
1781000211.822305507,1781000236.826060057,12,15,LeftHybridRe,Simple Radial,15.75188697864696,12.89216169891454,12.87911328403283,13.369714473034048,12.731823840026319,15.75188697864696,12.89216169891454,12.89216169891454
1781000212.808175517,1781000237.751949072,13,15,LeftHybridRe,Simple Radial,15.03465570627863,12.354027862905783,12.283905891249756,12.758148366510824,12.208116813509207,15.03465570627863,12.354027862905783,12.354027862905783
1781000214.157428492,1781000239.198498011,14,16,DownHybridRe,Simple Radial,14.526424303528144,11.74957769198732,11.762543824737225,12.139410989215424,11.657789727982596,14.526424303528144,11.74957769198732,11.74957769198732
1781000215.387219548,1781000240.284508944,15,16,DownHybridRe,Simple Radial,14.380347078893013,11.573729726851079,11.399250364335014,11.9106694942523,11.349284734812311,14.380347078893013,11.573729726851079,11.573729726851079
1781000219.928979727,1781000244.833864927,16,17,A,Simple Radial,14.5041863829153,11.510840389428326,11.207216010279152,11.609142376247865,11.088820317110967,14.5041863829153,11.510840389428326,11.510840389428326
1781000222.444729276,1781000247.326132059,17,17,A,Simple Radial,14.20583272072801,11.163140021395025,11.120944439999874,11.409711204827799,10.94995021679177,14.20583272072801,11.163140021395025,11.163140021395025
1781000223.944577578,1781000248.888185024,18,18,DownHybridRe,Simple Radial,13.711495163800565,11.110172033698117,10.933188824256062,11.063996230623689,10.744917676946477,13.711495163800565,11.110172033698117,11.110172033698117
1781000225.693909943,1781000250.659599066,19,18,LeftHybridRe,Simple Radial,13.340935434354156,10.935067056955553,10.547254184480447,10.705084927668356,10.404538390568158,13.340935434354156,10.935067056955553,10.935067056955553
1781000227.605809036,1781000252.571366072,20,18,RightHybridRe,Simple Radial,13.183626947855245,10.61527373997732,10.300594631864811,10.547302110141835,10.154227671450137,13.183626947855245,10.61527373997732,10.61527373997732
1781000228.496464350,1781000253.437050104,21,18,RightHybridRe,Simple Radial,18.673524765856982,16.011760646971208,16.253801936559455,16.44486209378107,15.992499052904215,18.673524765856982,16.011760646971208,16.011760646971208
1781000230.907374800,1781000255.824327946,22,19,DownHybridRe,Simple Radial,18.21232369748509,15.93249228165904,16.018342565163092,16.08960924113652,15.77764387666045,18.21232369748509,15.93249228165904,15.93249228165904
1781000231.515419205,1781000256.479976892,23,19,DownHybridRe,Simple Radial,20.824778336812685,18.461501061942545,19.098415742979995,19.219109446201653,18.788136147329357,20.824778336812685,18.461501061942545,18.461501061942545
1781000233.193117818,1781000258.111488104,24,20,DownHybridRe,Simple Radial,20.197757948484306,17.926508230076774,18.731969436362167,18.845272089551294,18.335385037724468,20.197757948484306,17.926508230076774,17.926508230076774
1781000234.470186271,1781000259.302632093,25,20,A,Simple Radial,19.780644695100893,17.75713312229147,18.543392430020226,18.707381697112567,18.101394981906772,19.780644695100893,17.73518643898206,17.75713312229147
1781000238.339249237,1781000263.240998030,26,20,UpHybridRe,Simple Radial,19.569022370348325,17.68317822870518,18.275298841629958,18.44928716888018,17.868551342693724,19.569022370348325,17.52039366275802,17.68317822870518
1781000239.218061687,1781000264.131752968,27,20,UpHybridRe,Simple Radial,23.455418561358474,21.52880412223156,22.58279752936545,22.78814949726662,22.064602465890946,23.455418561358474,21.826193439520658,21.52880412223156
1781000240.149264737,1781000265.087652922,28,20,UpHybridRe,Simple Radial,22.86674001560247,20.988125847705845,22.14820302090393,22.326666240396055,21.626160238423275,22.86674001560247,21.401996985895064,20.988125847705845
1781000241.741121214,1781000266.729249954,29,20,UpHybridRe,Simple Radial,22.355514824042594,20.66147761757993,21.71286679614975,21.886715257795444,21.20368684344148,22.355514824042594,20.971494348320636,20.66147761757993
1781000243.102131066,1781000268.040505886,30,20,UpHybridRe,Simple Radial,21.86863102057689,20.220812761684684,21.242177327015064,21.42061391039274,20.70808784469339,21.86863102057689,20.502157099815715,20.220812761684684
1781000244.184740162,1781000269.051747084,31,20,UpHybridRe,Simple Radial,23.057016078172726,21.500587208687975,22.471138637083683,22.642733710384594,22.01177319776592,23.057016078172726,21.79640908604101,21.500587208687975
1781000245.792380219,1781000270.733402967,32,21,LeftHybridRe,Simple Radial,22.62673948007423,21.174494706447945,22.150107572251724,22.348490226064,21.64032069339938,22.62673948007423,21.471080371444746,21.174494706447945
1781000247.787763765,1781000272.730298042,33,22,LeftHybridRe,Simple Radial,22.20043219572518,20.78312952687171,21.694665610065524,21.966069495050686,21.198462989122437,22.20043219572518,21.007958276345697,20.78312952687171
1781000248.667290497,1781000273.521043062,34,22,LeftHybridRe,Simple Radial,21.77504810748738,20.322643135702126,21.26035194438271,21.46720430147532,20.718234685232616,21.77504810748738,20.580430757090372,20.322643135702126
1781000253.682857208,1781000278.605148077,35,23,DownHybridRe,Simple Radial,21.510837796955204,20.08264990468875,20.839396410304907,21.134524610111054,20.361530256460842,21.510837796955204,20.19358020167,20.08264990468875
1781000254.785675798,1781000279.736159086,36,23,DownHybridRe,Simple Radial,21.278081239486173,19.845117521556123,20.429753687977115,20.80534551172565,20.011746902525633,21.278081239486173,19.810177116713916,19.845117521556123
1781000256.737210061,1781000281.673470974,37,23,DownHybridRe,Simple Radial,21.10165532175396,19.668369428820462,20.079475406411525,20.5455829547207,19.725979268760515,21.10165532175396,19.484855806560482,19.668369428820462
1781000257.659807289,1781000282.619359970,38,23,LeftHybridRe,Simple Radial,21.00674703506552,19.514652266313135,19.90918055043432,20.33725237821003,19.55026026141995,21.00674703506552,19.32826150111152,19.514652266313135
1781000258.634628372,1781000283.564635992,39,23,DownHybridRe,Simple Radial,20.751761683039838,19.235209834310893,19.783831984299894,20.0874429473171,19.362164556564856,20.751761683039838,19.207503774574093,19.235209834310893
1781000262.539346161,1781000287.228763103,40,26,DownHybridRe,Simple Radial,20.496712183187977,18.939026257766386,19.60048819029845,19.833869827139907,19.117223762438766,20.496712183187977,19.020956342968482,18.939026257766386
1781000264.501351255,1781000289.365773916,41,26,LeftHybridRe,Simple Radial,20.341627561264584,18.723018202184015,19.4401506088404,19.62525793478048,18.931628798295442,20.341627561264584,18.852654026073434,18.723018202184015
1781000266.152322198,1781000291.146615982,42,28,LeftHybridRe,Simple Radial,20.086357275290094,18.422537486639484,19.302888790944966,19.419422023645406,18.75906086960504,20.086357275290094,18.70411567868666,18.422537486639484
1781000267.979531191,1781000292.853478909,43,28,B,Simple Radial,19.883243819840274,18.17022769540506,19.07030586283295,19.178648052317985,18.48545937577379,19.883243819840274,18.44750320261341,18.17022769540506
1781000270.691926155,1781000295.700257063,44,28,RightHybridRe,Simple Radial,19.68168742237395,17.938912819347117,18.898713747960777,19.004826963563282,18.298508336322204,19.68168742237395,18.265638347835868,17.938912819347117
1781000271.396799501,1781000296.370889902,45,28,RightHybridRe,Simple Radial,19.56468828727575,17.864139493500804,18.95642511933706,19.06470744672137,18.333532562293147,19.56468828727575,18.305749996721147,17.864139493500804
1781000273.683386810,1781000298.662921906,46,29,RightHybridRe,Simple Radial,19.35962949631274,17.660124875578408,18.817381837048146,18.96769287066118,18.19780478207268,19.35962949631274,18.1597808366359,17.660124875578408
