timestamp,pupil_hardware_timestamp,event_count,bin_count,active_model,num_bins,total_samples,current_rmse
1781876557.212381163,1781876551.529869080,126,38,Radial Complete,1470,23.367986475084756
1781876577.855060878,1781876564.396665096,134,ACTION_RESET_RESUME,0,0,0.0
1781876657.231735017,1781876651.571633101,174,16,Simple Radial,449,32.11671730049262
1781876698.349649094,1781876656.126508951,181,ACTION_RESET_RESUME,0,0,0.0
1781876747.662979281,1781876736.780391932,207,12,Simple Radial,242,42.413752585548586
1781876755.267872169,1781876736.780391932,207,ACTION_RESET_RESUME,0,0,0.0
1781877016.359187842,1781877006.595448971,395,ACTION_RESET_RESUME,0,0,0.0
