timestamp,pupil_hardware_timestamp,event_count,bin_count,active_model,num_bins,total_samples,current_rmse
1779882349.309317636,1779881767.988631964,38,35,Simple Radial,1093,13.339790330908325
1779882374.498854952,1779881787.597244024,49,ACTION_RESET_RESUME,0,0,0.0
1779882542.416016211,1779881959.996212006,115,29,Radial Concentric,1112,13.373151102627979
1779882568.737672553,1779881985.745104074,122,ACTION_RESET_RESUME,0,0,0.0
1779882626.504905934,1779882009.562165976,132,ACTION_RESET_RESUME,0,0,0.0
