timestamp,pupil_hardware_timestamp,event_count,active_model,Raw,Bias,Linear,Radial Concentric,Simple Radial,Sigmoid X+Y,Radial Complete,Conic
1774951238.351696961,1774950750.676856994,0,Bias,30.607147234049144,30.607147234049144,30.607147234049144,30.607147234049144,30.607147234049144,30.607147234049144,30.607147234049144,30.607147234049144
1774951239.907218102,1774950752.177674055,1,Bias,23.502104284812063,11.179000135845646,11.179000135845646,11.179000135845646,11.179000135845646,11.179000135845646,11.179000135845646,11.179000135845646
1774951241.522288023,1774950753.819185018,2,Bias,27.82193973847512,10.935712857317018,10.935712857317018,10.935712857317018,10.935712857317018,10.935712857317018,10.935712857317018,10.935712857317018
1774951247.139996797,1774950759.283981084,3,Bias,24.92655409928856,15.998482894764118,15.998482894764118,15.998482894764118,15.998482894764118,15.998482894764118,15.998482894764118,15.998482894764118
1774951252.349478598,1774950764.514259099,4,Bias,25.509915838340767,13.447513074115756,13.447513074115756,13.447513074115756,13.447513074115756,13.447513074115756,13.447513074115756,13.447513074115756
1774951259.587546398,1774950771.631000995,5,Linear,28.630267480004047,14.515825071379043,14.515825071379043,14.515825071379043,14.515825071379043,14.515825071379043,14.515825071379043,14.515825071379043
1774951261.279332139,1774950773.577404022,6,Linear,59.30329004195381,43.89098829793851,36.88893737101094,43.33886477876429,36.99904392295042,43.89098829793851,43.89098829793851,43.89098829793851
1774951261.838424529,1774950774.153026103,7,Linear,54.9618206298143,37.85231518895851,13.26634404778537,32.08403360011097,17.68763812088049,37.85231518895851,37.85231518895851,37.85231518895851
1774951263.013090896,1774950775.259289979,8,Linear,50.77647038509009,31.07790027728967,9.527525977328411,29.25398288201743,10.545302947875085,31.07790027728967,31.07790027728967,31.07790027728967
1774951266.018018184,1774950778.232075929,9,Linear,51.206476866223056,26.966965502903427,22.496527912006243,28.345982409790537,26.640981708403128,26.966965502903427,26.966965502903427,26.966965502903427
1774951268.075535339,1774950780.283976078,10,Linear,53.27405826689733,25.67104789362527,19.14942511447612,28.628625573227705,23.831981700326367,25.67104789362527,25.67104789362527,25.67104789362527
1774951272.710143659,1774950784.928399085,11,Linear,61.93526315944625,31.15614640287931,20.759391948008076,37.08646873108347,20.494298644459057,31.15614640287931,31.15614640287931,31.15614640287931
1774951274.726326502,1774950786.915277004,12,Linear,64.03229426837778,39.54139805536962,13.54571122703916,42.79105262807893,14.454851004521176,39.54139805536962,39.54139805536962,39.54139805536962
1774951276.896449556,1774950789.157290935,13,Linear,53.73794287456516,18.533704318352243,11.25756081963139,26.51424585924029,14.318987492318296,18.533704318352243,18.533704318352243,18.533704318352243
1774951279.621164918,1774950791.784897089,14,Linear,18.661709174006294,34.6880190444612,39.024584056404684,35.54889987612733,33.33691681130056,34.6880190444612,34.6880190444612,34.6880190444612
1774951281.841532369,1774950794.051723003,15,Linear,22.522696737122004,33.43544898397796,13.274275730159768,31.824947888937025,18.085357396146676,33.43544898397796,33.43544898397796,33.43544898397796
1774951283.938070041,1774950796.218626976,16,Linear,81.1517655394472,52.138077157296195,35.298351416094754,54.35191122238106,35.97975646239806,52.138077157296195,52.138077157296195,52.138077157296195
1774951289.540020727,1774950801.668972969,17,Linear,56.47862031343982,33.312928356714856,20.52482777422055,34.93484594516875,24.363169474617624,33.312928356714856,33.312928356714856,33.312928356714856
1774951291.209562624,1774950803.495506048,18,Linear,36.30288389623984,11.214877289385106,21.01632724827899,21.04802051325393,15.394521499156541,11.214877289385106,11.214877289385106,11.214877289385106
