timestamp,pupil_hardware_timestamp,event_count,bin_count,button_id,active_model,Raw,Bias,Linear,Radial Concentric,Simple Radial,Sigmoid X+Y,Raw 2,Radial Complete,Conic
1779803505.604010587,1779802923.888988018,0,1,UpHybridRe,Bias,13.485839515967395,13.485839515967395,13.485839515967395,13.485839515967395,13.485839515967395,13.485839515967395,13.485839515967395,13.485839515967395,13.485839515967395
1779803508.514318561,1779802926.826394081,1,2,FartherHybridRe,Bias,14.434785708922199,12.556341090965535,12.556341090965535,12.556341090965535,12.556341090965535,12.556341090965535,14.434785708922199,12.556341090965535,12.556341090965535
1779803513.206687266,1779802931.371114969,2,5,FartherHybridRe,Bias,14.171782870720074,9.676948767886122,9.676948767886122,9.676948767886122,9.676948767886122,9.676948767886122,14.171782870720074,9.676948767886122,9.676948767886122
1779803517.248819271,1779802935.534671068,3,5,FartherHybridRe,Bias,13.10685559922796,8.20760859206253,8.20760859206253,8.207264417032953,8.20760859206253,8.20760859206253,13.10685559922796,8.20760859206253,8.20760859206253
1779803519.299611654,1779802937.571250916,4,6,A,Bias,12.754917702619982,9.847149702976697,9.847149702976697,9.936756971988723,9.847149702976697,9.847149702976697,12.754917702619982,9.847149702976697,9.847149702976697
1779803521.983801507,1779802940.098938942,5,6,LeftHybridRe,Bias,12.694904554786651,9.14107874330792,9.14107874330792,9.158927470525976,9.14107874330792,9.14107874330792,12.694904554786651,9.14107874330792,9.14107874330792
1779803525.525728781,1779802943.726603985,6,7,LeftHybridRe,Bias,12.176783843500838,8.428594603170813,8.428594603170813,8.446001428909126,8.428594603170813,8.428594603170813,12.176783843500838,8.428594603170813,8.428594603170813
1779803525.945803052,1779802944.257103920,7,7,LeftHybridRe,Bias,20.650646444210736,18.381816919296007,18.381816919296007,18.618771984780466,18.381816919296007,18.381816919296007,20.650646444210736,18.381816919296007,18.381816919296007
1779803528.013062877,1779802946.313376904,8,8,DownHybridRe,Bias,19.15458901937118,16.65771615398735,16.65771615398735,16.944768020008187,16.65771615398735,16.65771615398735,19.15458901937118,16.65771615398735,16.65771615398735
1779803533.142766338,1779802951.428466082,9,8,LeftHybridRe,Bias,18.5722300627596,15.75899474373223,15.75899474373223,15.928175352971195,15.75899474373223,15.75899474373223,18.5722300627596,15.75899474373223,15.75899474373223
1779803533.790108916,1779802952.058984995,10,8,LeftHybridRe,Bias,23.34117782234565,21.550859584488467,21.550859584488467,21.90418409597373,21.550859584488467,21.550859584488467,23.34117782234565,21.550859584488467,21.550859584488467
1779803537.225636756,1779802955.437149048,11,10,A,Radial Concentric,22.12599737828094,20.80983095483725,20.80983095483725,21.030040247618967,20.80983095483725,20.80983095483725,22.12599737828094,20.80983095483725,20.80983095483725
1779803538.079276349,1779802956.383016109,12,10,A,Radial Concentric,33.810022944463604,32.92323189202172,32.92323189202172,33.781116468007625,32.92323189202172,32.92323189202172,33.810022944463604,32.92323189202172,32.92323189202172
1779803541.341104211,1779802959.511442900,13,10,UpHybridRe,Radial Concentric,32.095650845777655,30.97754945015251,30.97754945015251,31.738429493490464,30.97754945015251,30.97754945015251,32.095650845777655,30.97754945015251,30.97754945015251
1779803544.778323374,1779802962.979527950,14,10,CloserHybridRe,Radial Concentric,30.887583277289433,29.533882578597726,29.533882578597726,30.286921056404488,29.533882578597726,29.533882578597726,30.887583277289433,29.533882578597726,29.533882578597726
1779803549.203808194,1779802967.397967100,15,10,RightHybridRe,Radial Concentric,29.97506329266621,28.34727398153651,28.34727398153651,29.010380354375386,28.34727398153651,28.34727398153651,29.97506329266621,28.34727398153651,28.34727398153651
1779803551.372358794,1779802969.615365028,16,10,LeftHybridRe,Radial Concentric,28.501473818166726,27.100455113814526,27.100455113814526,27.7488884351096,27.100455113814526,27.100455113814526,28.501473818166726,27.100455113814526,27.100455113814526
1779803553.913435057,1779802972.222731113,17,11,DownHybridRe,Radial Concentric,27.331358357439527,25.934672969303982,25.934672969303982,26.62428655678489,25.934672969303982,25.934672969303982,27.331358357439527,25.934672969303982,25.934672969303982
1779803554.547964631,1779802972.863296986,18,12,DownHybridRe,Raw,28.570850569345424,27.67137914923959,27.67137914923959,28.617154616398572,27.67137914923959,27.67137914923959,28.570850569345424,27.67137914923959,27.67137914923959
1779803555.490108935,1779802973.804163933,19,12,DownHybridRe,Raw,27.335969755267392,26.607093206475334,26.607093206475334,27.590769390198272,26.642252519409073,26.68342404491317,27.335969755267392,26.607093206475334,26.607093206475334
1779803556.136204885,1779802974.439785957,20,12,DownHybridRe,Raw,28.07961614320559,27.74548407255245,27.74548407255245,28.823790785037545,27.872099310448085,27.89620084860663,28.07961614320559,27.74548407255245,27.74548407255245
1779803558.167597245,1779802976.486831903,21,12,CloserHybridRe,Raw,27.444190275270458,26.860812789152973,26.860812789152973,27.90239222228807,26.974653900742236,27.112096072417092,27.444190275270458,26.860812789152973,26.860812789152973
1779803561.007641361,1779802979.254318953,22,13,B,Raw,26.849021203766032,26.152816385005032,26.152816385005032,27.080898058233828,26.245704130451006,26.372593123059602,26.849021203766032,26.152816385005032,26.152816385005032
1779803563.817505836,1779802981.981956959,23,13,UpHybridRe,Raw,26.414339059089155,25.61464918350497,25.61464918350497,26.492796111372744,25.68427231235744,25.826208760385146,26.414339059089155,25.61464918350497,25.61464918350497
1779803629.780531177,1779803048.032783031,24,13,UpHybridRe,Sigmoid X+Y,25.89853845187448,24.888084037306072,24.888084037306072,25.729192026564675,24.933203395897802,25.10745201438431,25.89853845187448,24.888084037306072,24.888084037306072
1779803635.640469696,1779803053.723074913,25,15,CloserHybridRe,Sigmoid X+Y,25.58543208688178,24.42927758779907,24.42927758779907,25.18448854916594,24.465609458375315,24.70422252345473,25.58543208688178,24.42927758779907,24.42927758779907
1779803641.327692932,1779803059.438374996,26,15,RightHybridRe,Sigmoid X+Y,25.48550273373914,24.10761842022956,24.10761842022956,24.82060962599673,24.172409393401797,24.498994109530646,25.48550273373914,24.10761842022956,24.10761842022956
1779803647.452077439,1779803065.534327030,27,17,UpHybridRe,Sigmoid X+Y,25.461888459926083,23.941236000485596,23.941236000485596,24.64244452101925,23.99105387370372,24.304374194308956,25.461888459926083,23.941236000485596,23.941236000485596
