timestamp,pupil_hardware_timestamp,event_count,bin_count,button_id,active_model,Raw,Bias,Linear,Radial Concentric,Simple Radial,Sigmoid X+Y,Raw 2,Radial Complete,Conic
1779803505.604010587,1779802923.888988018,0,1,UpHybridRe,Bias,13.53464298463416,4.849156637802048,4.849156637802048,4.849156637802048,4.849156637802048,4.849156637802048,13.53464298463416,4.849156637802048,4.849156637802048
1779803508.514318561,1779802926.826394081,1,2,FartherHybridRe,Bias,14.131468156024717,6.925494911703249,6.925494911703249,6.925494911703249,6.925494911703249,6.925494911703249,14.131468156024717,6.925494911703249,6.925494911703249
1779803513.206687266,1779802931.371114969,2,5,FartherHybridRe,Bias,12.865676683373515,5.10276443008706,5.10276443008706,5.050576720025633,5.10276443008706,5.10276443008706,12.865676683373515,5.10276443008706,5.10276443008706
1779803517.248819271,1779802935.534671068,3,5,FartherHybridRe,Bias,12.40947812641829,5.207255084577385,5.207255084577385,5.176555158634704,5.207255084577385,5.207255084577385,12.40947812641829,5.207255084577385,5.207255084577385
1779803519.299611654,1779802937.571250916,4,6,A,Bias,12.25774842491872,8.044209489246747,8.044209489246747,7.3876818258129,8.044209489246747,8.044209489246747,12.25774842491872,8.044209489246747,8.044209489246747
1779803521.983801507,1779802940.098938942,5,6,LeftHybridRe,Bias,12.499117979743822,8.149106118421999,8.149106118421999,7.447294565698522,8.149106118421999,8.149106118421999,12.499117979743822,8.149106118421999,8.149106118421999
1779803525.525728781,1779802943.726603985,6,7,LeftHybridRe,Bias,11.844178425473448,7.634905693271077,7.634905693271077,6.974614298282241,7.634905693271077,7.634905693271077,11.844178425473448,7.634905693271077,7.634905693271077
1779803525.945803052,1779802944.257103920,7,7,LeftHybridRe,Bias,11.844178425473448,7.634905693271077,7.634905693271077,6.974614298282241,7.634905693271077,7.634905693271077,11.844178425473448,7.634905693271077,7.634905693271077
1779803528.013062877,1779802946.313376904,8,8,DownHybridRe,Bias,11.391616110719792,7.225632264143937,7.225632264143937,6.700314217070151,7.225632264143937,7.225632264143937,11.391616110719792,7.225632264143937,7.225632264143937
1779803533.142766338,1779802951.428466082,9,8,LeftHybridRe,Bias,11.729634367376446,7.439033504977152,7.439033504977152,6.739687251200848,7.439033504977152,7.439033504977152,11.729634367376446,7.439033504977152,7.439033504977152
