timestamp,pupil_hardware_timestamp,event_count,bin_count,button_id,active_model,Raw,Bias,Linear,Radial Concentric,Simple Radial,Sigmoid X+Y,Raw 2,Radial Complete,Conic
1779803505.604010587,1779802923.888988018,0,1,UpHybridRe,Bias,13.485839515967395,13.485839515967395,13.485839515967395,13.485839515967395,13.485839515967395,13.485839515967395,13.485839515967395,13.485839515967395,13.485839515967395
1779803508.514318561,1779802926.826394081,1,2,FartherHybridRe,Bias,15.383731901877002,11.626842665963677,11.626842665963677,11.626842665963677,11.626842665963677,11.626842665963677,15.383731901877002,11.626842665963677,11.626842665963677
1779803513.206687266,1779802931.371114969,2,5,FartherHybridRe,Bias,13.645777194315828,3.9181641217272967,3.9181641217272967,3.9181641217272967,3.9181641217272967,3.9181641217272967,13.645777194315828,3.9181641217272967,3.9181641217272967
1779803517.248819271,1779802935.534671068,3,5,FartherHybridRe,Bias,9.91207378475161,3.7995880645917457,3.7995880645917457,3.798211364473444,3.7995880645917457,3.7995880645917457,9.91207378475161,3.7995880645917457,3.7995880645917457
1779803519.299611654,1779802937.571250916,4,6,A,Bias,11.347166116188076,16.405314146633366,16.405314146633366,16.854727191811804,16.405314146633366,16.405314146633366,11.347166116188076,16.405314146633366,16.405314146633366
1779803521.983801507,1779802940.098938942,5,6,LeftHybridRe,Bias,12.39483881561999,5.6107239449640325,5.6107239449640325,5.269779963212243,5.6107239449640325,5.6107239449640325,12.39483881561999,5.6107239449640325,5.6107239449640325
1779803525.525728781,1779802943.726603985,6,7,LeftHybridRe,Bias,9.068059575785949,4.153689762348173,4.153689762348173,4.168445179208026,4.153689762348173,4.153689762348173,9.068059575785949,4.153689762348173,4.153689762348173
1779803525.945803052,1779802944.257103920,7,7,LeftHybridRe,Bias,79.96768464918003,88.05437313217237,88.05437313217237,89.82816587587986,88.05437313217237,88.05437313217237,79.96768464918003,88.05437313217237,88.05437313217237
1779803528.013062877,1779802946.313376904,8,8,DownHybridRe,Bias,7.186129620654736,2.8649100315180895,2.8649100315180895,3.5527363018299503,2.8649100315180895,2.8649100315180895,7.186129620654736,2.8649100315180895,2.8649100315180895
1779803533.142766338,1779802951.428466082,9,8,LeftHybridRe,Bias,13.330999453255393,7.670502051436165,7.670502051436165,6.778841349638269,7.670502051436165,7.670502051436165,13.330999453255393,7.670502051436165,7.670502051436165
