timestamp,pupil_hardware_timestamp,event_count,bin_count,active_model,num_bins,total_samples,current_rmse
1780400190.805470398,1780399604.606275082,26,11,Radial Concentric,505,30.863393862063884
1780400210.638218406,1780399619.440582991,30,ACTION_RESET_RESUME,0,0,0.0
1780400505.611750004,1780399913.692539930,159,46,Simple Radial,1649,16.962851161409432
1780400518.532164500,1780399923.241722107,162,ACTION_RESET_RESUME,0,0,0.0
1780400539.726908448,1780399951.962851048,166,2,Bias,23,41.51396504743135
1780400554.190440795,1780399964.949815989,173,ACTION_RESET_RESUME,0,0,0.0
1780400630.510818758,1780400042.376435995,203,ACTION_RESET_RESUME,0,0,0.0
