Button ID,x0,y0,x1,y1,Parent ID,xp,yp,zp,q1,q2,q3,q4,Idx
B,28,28,-28,-28,205,33,71,0,1,0,0,0,Robot
X,28,28,-28,-28,205,-33,71,0,1,0,0,0,Heart
