timestamp,pupil_hardware_timestamp,event_count,bin_count,active_model,num_bins,total_samples,current_rmse
1780401266.876503672,1780400673.494276047,79,32,Linear,1107,11.391793405453772
1780401283.157359638,1780400692.411328077,82,ACTION_RESET_RESUME,0,0,0.0
1780401290.484808168,1780400692.411328077,82,0,Bias,0,0.0
1780401302.285606992,1780400692.411328077,82,ACTION_RESET_RESUME,0,0,0.0
1780401318.428937311,1780400732.183501005,91,7,Radial Concentric,174,29.200081341423708
1780401332.077160142,1780400736.798064947,92,ACTION_RESET_RESUME,0,0,0.0
1780401375.993585728,1780400788.665827990,109,12,Radial Concentric,421,19.243144491999967
1780401389.116870781,1780400798.094249010,112,ACTION_RESET_RESUME,0,0,0.0
1780401485.463445894,1780400896.154459953,146,ACTION_RESET_RESUME,0,0,0.0
