timestamp,pupil_hardware_timestamp,event_count,bin_count,active_model,num_bins,total_samples,current_rmse
1781868391.147292077,1781868372.268054008,36,9,Radial Concentric,190,20.703519098216184
1781868409.946574395,1781868403.507127047,37,ACTION_RESET_RESUME,0,0,0.0
1781868743.916736688,1781868738.126161098,241,25,Simple Radial,911,20.448538103492105
1781868745.309256333,1781868739.452389002,242,25,Simple Radial,917,20.4414805270731
1781868746.245206385,1781868739.452389002,242,25,Simple Radial,917,20.4414805270731
1781868758.247687396,1781868751.839143991,250,ACTION_RESET_RESUME,0,0,0.0
1781868972.026025946,1781868965.215730906,402,ACTION_RESET_RESUME,0,0,0.0
