Button ID,x0,y0,x1,y1,Parent ID,xp,yp,zp,q1,q2,q3,q4,Idx,
z,4.08,8.16,-4.08,-8.16,28,24.48,65.28,0,1,0,0,0,z,
del,6.12,6.12,-6.12,-6.12,28,10.2,46.92,0,1,0,0,0,delete,
refresh,6.12,6.12,-6.12,-6.12,28,132.6,46.92,0,1,0,0,0,refresh,
space,12.24,6.12,-12.24,-6.12,28,65.28,79.56,0,1,0,0,0,space,
a,4.08,8.16,-4.08,-8.16,29,-16.32,-24.48,0,1,0,0,0,a,
b,4.08,8.16,-4.08,-8.16,29,-24.48,-24.48,0,1,0,0,0,b,
c,4.08,8.16,-4.08,-8.16,29,-32.64,-24.48,0,1,0,0,0,c,
d,4.08,8.16,-4.08,-8.16,29,-40.8,-24.48,0,1,0,0,0,d,
e,4.08,8.16,-4.08,-8.16,29,-48.96,-24.48,0,1,0,0,0,e,
f,4.08,8.16,-4.08,-8.16,29,-57.12,-24.48,0,1,0,0,0,f,
g,4.08,8.16,-4.08,-8.16,29,-65.28,-24.48,0,1,0,0,0,g,
h,4.08,8.16,-4.08,-8.16,29,-73.44,-24.48,0,1,0,0,0,h,
i,4.08,8.16,-4.08,-8.16,29,-81.6,-24.48,0,1,0,0,0,i,
j,4.08,8.16,-4.08,-8.16,29,-89.76,-24.48,0,1,0,0,0,j,
k,4.08,8.16,-4.08,-8.16,29,-97.92,-24.48,0,1,0,0,0,k,
l,4.08,8.16,-4.08,-8.16,29,-106.08,-24.48,0,1,0,0,0,l,
m,4.08,8.16,-4.08,-8.16,29,-114.24,-24.48,0,1,0,0,0,m,
n,4.08,8.16,-4.08,-8.16,29,-16.32,-8.16,0,1,0,0,0,n,
o,4.08,8.16,-4.08,-8.16,29,-24.48,-8.16,0,1,0,0,0,o,
p,4.08,8.16,-4.08,-8.16,29,-32.64,-8.16,0,1,0,0,0,p,
q,4.08,8.16,-4.08,-8.16,29,-40.8,-8.16,0,1,0,0,0,q,
r,4.08,8.16,-4.08,-8.16,29,-48.96,-8.16,0,1,0,0,0,r,
s,4.08,8.16,-4.08,-8.16,29,-57.12,-8.16,0,1,0,0,0,s,
t,4.08,8.16,-4.08,-8.16,29,-65.28,-8.16,0,1,0,0,0,t,
u,4.08,8.16,-4.08,-8.16,29,-73.44,-8.16,0,1,0,0,0,u,
v,4.08,8.16,-4.08,-8.16,29,-81.6,-8.16,0,1,0,0,0,v,
w,4.08,8.16,-4.08,-8.16,29,-89.76,-8.16,0,1,0,0,0,w,
x,4.08,8.16,-4.08,-8.16,29,-97.92,-8.16,0,1,0,0,0,x,
y,4.08,8.16,-4.08,-8.16,29,-106.08,-8.16,0,1,0,0,0,y,
z,4.08,8.16,-4.08,-8.16,29,-114.24,-8.16,0,1,0,0,0,z,
del,6.12,6.12,-6.12,-6.12,29,-128.52,-26.52,0,1,0,0,0,delete,
refresh,6.12,6.12,-6.12,-6.12,29,-6.12,-26.52,0,1,0,0,0,refresh,
space,12.24,6.12,-12.24,-6.12,29,-73.44,6.12,0,1,0,0,0,space,
a,4.08,8.16,-4.08,-8.16,30,122.4,-24.48,0,1,0,0,0,a,
b,4.08,8.16,-4.08,-8.16,30,114.24,-24.48,0,1,0,0,0,b,
c,4.08,8.16,-4.08,-8.16,30,106.08,-24.48,0,1,0,0,0,c,
d,4.08,8.16,-4.08,-8.16,30,97.92,-24.48,0,1,0,0,0,d,
e,4.08,8.16,-4.08,-8.16,30,89.76,-24.48,0,1,0,0,0,e,
f,4.08,8.16,-4.08,-8.16,30,81.6,-24.48,0,1,0,0,0,f,
g,4.08,8.16,-4.08,-8.16,30,73.44,-24.48,0,1,0,0,0,g,
h,4.08,8.16,-4.08,-8.16,30,65.28,-24.48,0,1,0,0,0,h,
i,4.08,8.16,-4.08,-8.16,30,57.12,-24.48,0,1,0,0,0,i,
j,4.08,8.16,-4.08,-8.16,30,48.96,-24.48,0,1,0,0,0,j,
k,4.08,8.16,-4.08,-8.16,30,40.8,-24.48,0,1,0,0,0,k,
l,4.08,8.16,-4.08,-8.16,30,32.64,-24.48,0,1,0,0,0,l,
