timestamp,pupil_hardware_timestamp,event_count,bin_count,button_id,active_model,Raw,Bias,Linear,Radial Concentric,Simple Radial,Radial Complete,Conic
1779473321.717602028,1779472738.424088001,0,2,LeftHybridRe,Bias,9.742963254861804,9.742963254861804,9.742963254861804,9.742963254861804,9.742963254861804,9.742963254861804,9.742963254861804
1779473323.328174149,1779472740.265832901,1,2,LeftHybridRe,Bias,15.790746748135724,11.18371559245902,11.18371559245902,11.18371559245902,11.18371559245902,11.18371559245902,11.18371559245902
1779473326.050009047,1779472742.808032990,2,3,CloserHybridRe,Bias,17.012292493015618,10.314879407131054,10.314879407131054,10.314879407131054,10.314879407131054,10.314879407131054,10.314879407131054
1779473329.397089407,1779472746.270874977,3,5,FartherHybridRe,Bias,19.496502949286167,11.029056409318596,11.029056409318596,11.029056409318596,11.029056409318596,11.029056409318596,11.029056409318596
1779473334.702968158,1779472751.525716066,4,5,FartherHybridRe,Bias,20.146238608870185,10.018598385909161,10.018598385909161,9.849725069303226,10.018598385909161,10.018598385909161,10.018598385909161
1779473337.826542922,1779472754.733863115,5,6,B,Bias,17.248068341066908,10.88410690783097,10.88410690783097,10.588319007013475,10.88410690783097,10.88410690783097,10.88410690783097
1779473339.403752417,1779472756.390435934,6,6,DownHybridRe,Bias,16.62256375398882,10.35403136124522,10.35403136124522,10.119971437371477,10.35403136124522,10.35403136124522,10.35403136124522
1779473341.109820465,1779472758.041924953,7,6,DownHybridRe,Bias,16.23038865370758,9.532507011630395,9.532507011630395,9.304262587945383,9.532507011630395,9.532507011630395,9.532507011630395
1779473341.616139706,1779472758.507307053,8,7,DownHybridRe,Bias,20.014635721626473,14.94463921519431,14.94463921519431,14.582356736307649,14.94463921519431,14.94463921519431,14.94463921519431
1779473344.252842107,1779472761.109683990,9,8,A,Bias,19.210980741876384,14.256044350276312,14.256044350276312,14.241754007374201,14.256044350276312,14.256044350276312,14.256044350276312
1779473344.701946826,1779472761.635765076,10,8,A,Bias,32.56624046711397,28.78319489364114,28.78319489364114,28.566114410269282,28.78319489364114,28.78319489364114,28.78319489364114
1779473346.901924766,1779472763.822765112,11,8,UpHybridRe,Bias,30.894674097680053,26.594673219141722,26.594673219141722,26.399577499296374,26.594673219141722,26.594673219141722,26.594673219141722
1779473350.007304397,1779472766.910245895,12,9,RightHybridRe,Bias,29.25387675954154,25.980199879611334,25.980199879611334,25.728338938886882,25.980199879611334,25.980199879611334,25.980199879611334
1779473351.584678116,1779472768.486239910,13,9,RightHybridRe,Bias,28.08462163546193,25.561066497324596,25.561066497324596,25.158270754008573,25.561066497324596,25.561066497324596,25.561066497324596
1779473352.050748146,1779472769.016740084,14,9,RightHybridRe,Bias,33.027495676289966,31.0309475466609,31.0309475466609,30.221021101338856,31.0309475466609,31.0309475466609,31.0309475466609
1779473354.727855556,1779472771.614202023,15,9,CloserHybridRe,Bias,31.245675159167746,29.583915520055356,29.583915520055356,28.728820306959086,29.583915520055356,29.583915520055356,29.583915520055356
1779473356.309094262,1779472773.145714045,16,9,CloserHybridRe,Radial Concentric,29.869429375081445,28.47010157757943,28.47010157757943,27.6015713237903,28.47010157757943,28.47010157757943,28.47010157757943
1779473358.385443095,1779472775.282866001,17,9,CloserHybridRe,Radial Concentric,28.66343694263759,27.080488919247696,27.080488919247696,26.309234168731255,27.080488919247696,27.080488919247696,27.080488919247696
