timestamp,pupil_hardware_timestamp,event_count,bin_count,active_model,num_bins,total_samples,current_rmse
1774965855.869629803,0.0,0,0,Bias,0,0.0
1774965856.029215932,0.0,0,0,Bias,0,0.0
1774965856.184157102,0.0,0,0,Bias,0,0.0
1774965856.368169268,0.0,0,0,Bias,0,0.0
1774965856.530683303,0.0,0,0,Bias,0,0.0
1774965856.708730810,0.0,0,0,Bias,0,0.0
1774965856.885674416,0.0,0,0,Bias,0,0.0
1774965857.063127462,0.0,0,0,Bias,0,0.0
1774965857.249410044,0.0,0,0,Bias,0,0.0
1774965857.426336698,0.0,0,0,Bias,0,0.0
1774965857.612916750,0.0,0,0,Bias,0,0.0
1774965857.796730557,0.0,0,0,Bias,0,0.0
1774965857.989782592,0.0,0,0,Bias,0,0.0
1774965858.248717297,0.0,0,0,Bias,0,0.0
1774965858.560465752,0.0,0,0,Bias,0,0.0
1774965858.972773392,0.0,0,0,Bias,0,0.0
1774965859.401291958,0.0,0,0,Bias,0,0.0
1774965859.813269166,0.0,0,0,Bias,0,0.0
1774965860.223910703,0.0,0,0,Bias,0,0.0
1774965860.648666127,0.0,0,0,Bias,0,0.0
1774965861.093618587,0.0,0,0,Bias,0,0.0
