bin_x,bin_y,gaze_x,gaze_y,err_x,err_y
5,3,780.69091796875,467.7120666503906,13.556144345080497,-27.195422229560336
5,3,776.1207275390625,478.4386291503906,18.126334774767997,-37.921984729560336
5,3,783.5642700195312,473.5204162597656,10.682792294299247,-33.003771838935336
5,3,776.8930053710938,479.0065002441406,17.354056942736747,-38.489855823310336
5,3,779.1353149414062,480.7077941894531,15.111747372424247,-40.191149768622836
5,3,761.7815551757812,481.7100524902344,32.46550713804925,-41.193408069404086
5,3,768.5267333984375,480.3655700683594,25.720328915392997,-39.848925647529086
5,3,770.3150024414062,481.4322814941406,23.932059872424247,-40.915637073310336
5,3,770.3753662109375,470.6667785644531,23.871696102892997,-30.150134143622836
5,3,773.2655029296875,472.9553527832031,20.981559384142997,-32.438708362372836
5,3,775.0951538085938,473.5066223144531,19.151908505236747,-32.989977893622836
5,3,779.7884521484375,475.1144714355469,14.458610165392997,-34.597827014716586
5,3,779.8933715820312,468.3023376464844,14.353690731799247,-27.785693225654086
5,3,773.5048828125,470.0195007324219,20.742179501330497,-29.502856311591586
5,3,770.099365234375,474.2748718261719,24.147697079455497,-33.758227405341586
5,3,775.140380859375,472.8767395019531,19.106681454455497,-32.360095081122836
5,3,775.0145263671875,471.0177307128906,19.232535946642997,-30.501086292060336
5,3,763.8330078125,469.1520080566406,30.414054501330497,-28.635363635810336
5,3,766.4239501953125,471.7815856933594,27.823112118517997,-31.264941272529086
5,3,766.0053100585938,480.7224426269531,28.241752255236747,-40.205798206122836
5,3,785.8364868164062,472.8894958496094,8.410575497424247,-32.372851428779086
5,3,785.8204345703125,473.2480773925781,8.426627743517997,-32.731432971747836
5,3,788.7095336914062,474.0061950683594,5.537528622424247,-33.489550647529086
5,3,782.0757446289062,477.9203186035156,12.171317684924247,-37.403674182685336
5,3,782.9058227539062,476.6216735839844,11.341239559924247,-36.105029163154086
5,3,780.9033813476562,475.1379089355469,13.343680966174247,-34.621264514716586
5,3,777.8709106445312,471.3959045410156,16.376151669299247,-30.879260120185336
5,3,779.073486328125,473.5693054199219,15.173575985705497,-33.052660999091586
5,3,791.04736328125,482.4398498535156,3.1996990325804973,-41.923205432685336
5,3,773.8619995117188,475.0270690917969,20.385062802111747,-34.510424670966586
5,3,776.2017211914062,480.3718566894531,18.045341122424247,-39.855212268622836
5,3,781.3014526367188,471.4795227050781,12.945609677111747,-30.962878284247836
5,3,772.2703247070312,477.8552551269531,21.976737606799247,-37.338610706122836
5,3,765.7774047851562,475.9755554199219,28.469657528674247,-35.458910999091586
5,3,771.8759155273438,478.3972473144531,22.371146786486747,-37.880602893622836
5,3,791.23583984375,478.8143615722656,3.0112224700804973,-38.297717151435336
5,3,788.693603515625,474.3102722167969,5.553458798205497,-33.793627795966586
5,3,773.085693359375,479.6425476074219,21.161368954455497,-39.125903186591586
5,3,779.5479736328125,474.1793518066406,14.699088681017997,-33.662707385810336
5,3,783.9190673828125,476.0650939941406,10.327994931017997,-35.548449573310336
5,3,777.6611328125,470.4890441894531,16.585929501330497,-29.972399768622836
5,3,774.8919067382812,476.8492736816406,19.355155575549247,-36.332629260810336
5,3,791.6846923828125,472.7306823730469,2.5623699310179973,-32.214037952216586
5,3,787.9525756835938,471.0796203613281,6.294486630236747,-30.562975940497836
5,3,777.4641723632812,474.9193420410156,16.782889950549247,-34.402697620185336
5,3,770.9315795898438,476.1886901855469,23.315482723986747,-35.672045764716586
5,3,768.0396728515625,472.6877136230469,26.207389462267997,-32.171069202216586
5,3,774.587158203125,473.0582580566406,19.659904110705497,-32.541613635810336
5,3,788.47509765625,478.1219177246094,5.771964657580497,-37.605273303779086
5,3,756.8790283203125,484.4930725097656,37.368033993518,-43.976428088935336
4,3,746.8863525390625,486.7352600097656,47.360709774768,-46.218615588935336
