timestamp,pupil_hardware_timestamp,event_count,bin_count,active_model,num_bins,total_samples,current_rmse
1781018892.561841076,1781018900.264085054,120,45,Radial Complete,1726,15.818500985862848
1781018911.693081614,1781018918.540684938,129,ACTION_RESET_RESUME,0,0,0.0
1781018994.541574524,1781019001.592619896,169,ACTION_RESET_RESUME,0,0,0.0
