timestamp,pupil_hardware_timestamp,event_count,bin_count,active_model,num_bins,total_samples,current_rmse
1780936247.359186476,1780935639.104609013,42,14,Radial Concentric,497,19.879277325057213
1780936262.685165659,1780935639.104609013,42,ACTION_RESET_RESUME,0,0,0.0
1780936277.407680604,1780935679.287058115,45,4,Bias,197,8.991297351743869
1780936293.541046869,1780935687.539053917,46,ACTION_RESET_RESUME,0,0,0.0
1780936476.360567708,1780935869.752264023,114,24,Linear,715,30.227850115297016
1780936484.205648106,1780935869.752264023,114,ACTION_RESET_RESUME,0,0,0.0
1780936646.640259794,1780936051.170272112,182,ACTION_RESET_RESUME,0,0,0.0
