timestamp_ros,event_count,active_model,num_bins,total_samples,Raw_score,Bias_score,Simple Radial_score,Complete Radial_score,Conic_score,Sigmoid X+Y_score
1773666153.991340528,0,Bias,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1773666155.438739332,0,Bias,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1773666155.859422779,0,Bias,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1773666156.127118112,0,Bias,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1773666156.358809013,0,Bias,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1773666156.811842316,0,Bias,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1773666156.979333884,0,Bias,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1773666157.127448771,0,Bias,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1773666157.247456608,0,Bias,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1773666157.375179267,0,Bias,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1773666866.138258120,22,Simple Radial,6,155,42.22010792926107,36.888639474168826,33.63190598491941,36.888639474168826,36.888639474168826,36.888639474168826
1773666972.137285738,69,Sigmoid X+Y,15,314,45.791768492983685,35.989174362404974,35.18752398225886,35.989174362404974,35.989174362404974,35.24257152483029
1773666988.769978078,72,Bias,15,314,45.585489289784434,35.23540250401202,34.348767687365466,35.23540250401202,35.23540250401202,34.49046431772373
1773667065.708785552,103,Sigmoid X+Y,22,523,46.1334303218723,38.598173467685946,37.358363357935296,37.26696300629216,38.598173467685946,37.47660268606272
1773667077.852163092,105,Sigmoid X+Y,22,532,46.21260283144994,38.80302943168204,37.569979339074095,37.635256078287554,38.80302943168204,37.74175506467564
1773667122.636871800,117,Sigmoid X+Y,24,582,48.704267743140726,45.28594851159055,42.445610589897356,44.491115186980394,45.28594851159055,42.7539521719475
1773667162.824611796,127,Complete Radial,34,685,42.363221096590635,41.25445852627073,39.40463473728785,39.525510446124,41.25445852627073,39.634039105728036
1773667175.191639931,130,Complete Radial,34,698,42.365816796978045,41.22621307724388,39.00574388698625,38.2719342559947,41.22621307724388,38.76703305098205
1773667199.784046386,130,Complete Radial,34,698,42.365816796978045,41.22621307724388,39.00574388698625,38.2719342559947,41.22621307724388,38.76703305098205
1773667263.424427620,144,Conic,42,782,39.73571041793616,38.15311608013226,36.751433334008986,37.399721944728974,36.09057718319201,37.31529956021554
1773667286.372345000,144,Conic,42,782,39.73571041793616,38.15311608013226,36.751433334008986,37.399721944728974,36.09057718319201,37.31529956021554
1773753994.93532898,13,Bias,4,89,39.32600290092652,31.567089097982006,31.567089097982006,31.567089097982006,31.567089097982006,31.567089097982006
1773754123.469398435,39,Simple Radial,9,208,39.995568929840054,39.44014687113317,36.39191104137239,39.44014687113317,39.44014687113317,39.44014687113317
1773754343.841130658,105,Simple Radial,13,273,44.321322688718176,41.87979215518325,43.19054615284368,41.87979215518325,41.87979215518325,41.87979215518325
1773754397.423509977,122,Simple Radial,15,353,49.81217970836045,43.93633680238381,43.84099604673815,43.93633680238381,43.93633680238381,43.64272121527867
1773754492.701575975,151,Simple Radial,15,377,51.914714102555585,46.65016208186496,46.78247178747007,46.65016208186496,46.65016208186496,47.115773839589274
1773754513.166534645,156,Simple Radial,15,377,48.35775643483044,45.58966965375733,44.70586894099452,45.58966965375733,45.58966965375733,45.13968122652447
1773754579.202595477,183,Bias,17,430,48.856927679237096,43.751012771298356,43.47488267817533,43.751012771298356,43.751012771298356,43.917650508258234
1773754598.762862038,190,Bias,17,432,47.39593671056187,42.51243457530032,42.223217783437796,42.51243457530032,42.51243457530032,42.47759233638463
1773755148.532066644,7,Bias,7,136,25.840606395225777,21.273881811191362,22.49977358363398,21.273881811191362,21.273881811191362,21.273881811191362
1773755184.755652376,18,Bias,10,207,41.13210499844326,37.894359760765,36.90105419484483,37.894359760765,37.894359760765,37.894359760765
1773755274.51807107,24,Simple Radial,6,140,52.986464868234954,42.20852106320252,39.14680667707222,42.20852106320252,42.20852106320252,42.20852106320252
1773755351.715291641,36,Simple Radial,9,223,73.86247903289879,58.39649475475744,55.21864479414517,58.39649475475744,58.39649475475744,58.39649475475744
1773755366.800005650,38,Simple Radial,10,253,74.19249843328929,65.39743779663259,63.39750788588962,65.39743779663259,65.39743779663259,65.39743779663259
1773755402.323983975,41,Simple Radial,10,257,76.03964630983276,64.32887985767776,57.683813001594395,64.32887985767776,64.32887985767776,64.32887985767776
