Button ID,x0,y0,x1,y1,Parent ID,xp,yp,zp,q1,q2,q3,q4,Idx,
S2Y_+1,28,28,-28,-28,207,0,-64,0,1,0,0,0,Up,S1Y_+1
S2Y_-1,25,25,-25,-25,207,0,64,0,1,0,0,0,Down,S1Y_-1
S2X_-1,28,28,-28,-28,207,-64,0,0,1,0,0,0,Left,S1X_-1
S2X_+1,28,28,-28,-28,207,64,0,0,1,0,0,0,Right,S1X_+1
S2Y_+1,28,28,-28,-28,206,-47,-17,0,1,0,0,0,Up,S1Y_+1
S2Y_-1,25,25,-25,-25,206,-47,111,0,1,0,0,0,Down,S1Y_-1
S2X_-1,28,28,-28,-28,206,-111,47,0,1,0,0,0,Left,S1X_-1
S2X_+1,28,28,-28,-28,206,17,47,0,1,0,0,0,Right,S1X_+1
S2Y_+1,28,28,-28,-28,208,47,-111,0,1,0,0,0,Up,S1Y_+1
S2Y_-1,25,25,-25,-25,208,47,17,0,1,0,0,0,Down,S1Y_-1
S2X_-1,28,28,-28,-28,208,-17,-47,0,1,0,0,0,Left,S1X_-1
S2X_+1,28,28,-28,-28,208,111,-47,0,1,0,0,0,Right,S1X_+1
TR,28,28,-28,-28,211,-64,0,0,1,0,0,0,Farther,
TL,28,28,-28,-28,211,64,0,0,1,0,0,0,Closer,
TR,28,28,-28,-28,206,-111,-77,0,1,0,0,0,Farther,
TL,28,28,-28,-28,206,17,-77,0,1,0,0,0,Closer,
A,28,28,-28,-28,209,64,0,0,1,0,0,0,Open,
B,28,28,-28,-28,209,-64,0,0,1,0,0,0,Close,
S2Y_+1,28,28,-28,-28,205,-64,-128,0,1,0,0,0,Up,S1Y_+1
S2Y_-1,25,25,-25,-25,205,-64,0,0,1,0,0,0,Down,S1Y_-1
S2X_-1,28,28,-28,-28,205,0,-64,0,1,0,0,0,Left,S1X_-1
S2X_+1,28,28,-28,-28,205,-128,-64,0,1,0,0,0,Right,S1X_+1
X,28,28,-28,-28,205,-64,-64,0,1,0,0,0,Grab,
S2Y_+1,28,28,-28,-28,210,64,0,0,1,0,0,0,Up,S1Y_+1
S2Y_-1,25,25,-25,-25,210,64,128,0,1,0,0,0,Down,S1Y_-1
S2X_-1,28,28,-28,-28,210,128,64,0,1,0,0,0,Left,S1X_-1
S2X_+1,28,28,-28,-28,210,0,64,0,1,0,0,0,Right,S1X_+1
