timestamp,pupil_hardware_timestamp,event_count,active_model,num_bins,total_samples,current_rmse
1774612658.165473955,1774612168.923280000,8,Bias,2,100,15.273454981563457
1774612841.461690466,1774612346.781769037,102,Linear,21,836,48.87107324721646
