timestamp,button_id,state,in_frame,surface_angle_deg,center_x,center_y,apparent_area
1785336530.4357834,SwitchRef2,inactive,True,38.534348397593824,175.08960264712104,537.3344287698777,4831.609643847212
1785336530.4357834,LeftHybridRe,inactive,True,36.081108102430164,120.49762349175808,425.4146943649718,2352.191940377623
1785336530.4357834,RightHybridRe,inactive,True,26.326816516502483,220.2642531958736,406.81372643655277,2362.2864555900014
1785336530.4357834,DownHybridRe,inactive,True,33.24803410511634,181.58853645814145,465.95344996297683,2340.503232083727
1785336530.4357834,UpHybridRe,inactive,True,30.45319393120426,159.43676322089283,365.87118466909624,2396.410373736675
1785336530.4357834,CloseRe,inactive,True,28.922286579899186,226.3310049659685,453.54440893967046,2113.587941610509
1785336530.4357834,OpenRe,inactive,True,37.02455325350591,134.39077636630316,470.3507540666807,2138.931734017391
1785336530.4357834,CloserHybridRe,inactive,True,25.364278352074585,207.92300492668122,361.9352418478312,2186.3793329855216
1785336530.4357834,FartherHybridRe,inactive,True,35.16928186649544,113.21858588608819,380.17536993610526,2161.606070946171
1785336530.4357834,SwitchRef1,inactive,True,31.030695948531758,483.3185655901284,432.33248998456565,7900.330642001485
1785336530.9358094,SwitchRef2,inactive,True,38.50230905430239,174.5456906851657,536.4488726279978,4860.255163382975
1785336530.9358094,LeftHybridRe,inactive,True,35.66901917678785,119.95485742592848,425.01695660984234,2360.41248633165
1785336530.9358094,RightHybridRe,inactive,True,25.83693422194166,219.72064053886442,405.6271322483283,2359.1595409870642
1785336530.9358094,DownHybridRe,inactive,True,32.7326067766985,181.19932334915976,465.1418104034476,2348.747424651978
1785336530.9358094,UpHybridRe,inactive,True,30.100456299469833,158.84432757156313,365.17428695196236,2392.327201650125
1785336530.9358094,CloseRe,inactive,True,28.35911850202834,225.92249639176327,452.34405831093727,2116.584247650797
1785336530.9358094,OpenRe,inactive,True,36.55845033386374,133.93049368904389,469.93910856633136,2151.1599239057214
1785336530.9358094,CloserHybridRe,inactive,True,24.987821032592752,207.27475249425459,360.8895045769858,2177.9681385978947
1785336530.9358094,FartherHybridRe,inactive,True,34.81956487026486,112.62156926653881,379.8074442429111,2163.8641816154977
1785336530.9358094,SwitchRef1,inactive,True,31.53243421572995,482.98503747933364,431.114289159148,7862.310761491288
1785336530.9358094,Target_C,inactive,True,43.499349854227916,624.1725503365631,98.55128016743222,452.15813506865743
1785336531.4358397,SwitchRef2,inactive,True,39.115428625690214,173.7121957497089,536.7790517151379,4857.405062947753
1785336531.4358397,LeftHybridRe,inactive,True,36.119090344266894,119.0616791412387,425.0435620216401,2361.438071350636
1785336531.4358397,RightHybridRe,inactive,True,26.33864879677636,218.89728843240528,406.0266618976876,2367.5663217641923
1785336531.4358397,DownHybridRe,inactive,True,33.23421158703765,180.34957116716774,465.42288996481125,2348.665998842189
1785336531.4358397,UpHybridRe,inactive,True,30.53179241868593,157.91426545414842,365.25979707543456,2401.6189496344996
1785336531.4358397,CloseRe,inactive,True,28.886663227892342,225.10448016798028,452.8193630394519,2119.8827145375035
1785336531.4358397,OpenRe,inactive,True,37.03018813484138,133.08624539491615,470.0149318880079,2148.3210341280937
1785336531.4358397,CloserHybridRe,inactive,True,25.436437516096102,206.42415706156584,361.13477241416507,2189.7270764881832
1785336531.4358397,FartherHybridRe,inactive,True,35.24058637133746,111.66454487967252,379.76020224972535,2169.0237915228536
1785336531.4358397,SwitchRef1,inactive,True,30.700499376743373,481.9988935726372,431.9203953766437,7948.361160317727
1785336531.4358397,Target_C,inactive,True,42.79225414037673,624.450452356276,98.36444027250454,452.5080193489812
1785336531.9357703,SwitchRef2,inactive,True,38.20465336814325,174.13047681928117,537.4372821843006,4828.095364817822
1785336531.9357703,LeftHybridRe,inactive,True,36.43864650346949,118.88568578698295,425.18247021303796,2360.6549201877096
1785336531.9357703,RightHybridRe,inactive,True,26.700716119209968,218.78614597417194,406.6080712053555,2373.760265284145
1785336531.9357703,DownHybridRe,inactive,True,33.6059835683605,180.13965706561967,465.84315751748,2347.798465127111
1785336531.9357703,UpHybridRe,inactive,True,30.82442757745681,157.77569037865626,365.51339280697766,2408.1360015663777
1785336531.9357703,CloseRe,inactive,True,29.28272346051703,224.93431777347269,453.4585724487083,2121.976526174323
1785336531.9357703,OpenRe,inactive,True,37.37534765699195,132.88534042364319,470.2037671950493,2144.811867872497
1785336531.9357703,CloserHybridRe,inactive,True,25.742013036334985,206.35070847432615,361.58505278968465,2198.7189816064165
1785336531.9357703,FartherHybridRe,inactive,True,35.52913569846637,111.50027232827472,379.8392582098533,2171.5067503301707
1785336531.9357703,SwitchRef1,inactive,True,31.108408143329033,481.91716224438085,432.0183166213169,7913.05542456347
1785336531.9357703,Target_C,inactive,True,42.79225414037673,624.450452356276,98.36444027250454,452.5080193489812
1785336532.436112,SwitchRef2,inactive,True,38.60012990626798,172.91355725359873,537.2491062480391,4866.697378569843
1785336532.436112,LeftHybridRe,inactive,True,36.403012456403516,118.33291032687328,425.3037542662764,2360.170638754371
1785336532.436112,RightHybridRe,inactive,True,26.64664415209609,218.10711381174852,406.38345289309206,2370.7599112510434
1785336532.436112,DownHybridRe,inactive,True,33.52134705053947,179.5975867928729,465.7823694788299,2349.075641193718
1785336532.436112,UpHybridRe,inactive,True,30.831797152052502,157.11650072212777,365.51219080688696,2402.8630027142644
1785336532.436112,CloseRe,inactive,True,29.180263890472865,224.33741072530384,453.23474756690206,2122.1995225330975
1785336532.436112,OpenRe,inactive,True,37.30792960583543,132.36946072873087,470.3101800885462,2147.053492790703
1785336532.436112,CloserHybridRe,inactive,True,25.747858711539134,205.60995752882454,361.42018498035327,2193.0891880238414
1785336532.436112,FartherHybridRe,inactive,True,35.52655879533108,110.912405672879,379.9885205041021,2168.354272162511
1785336532.436112,SwitchRef1,inactive,True,31.29601681047053,481.3871881890701,431.63044093431716,7866.468868600336
1785336532.436112,Target_C,inactive,True,42.79225414037673,624.450452356276,98.36444027250454,452.5080193489812
1785336532.9357529,SwitchRef2,inactive,True,38.83329028128496,172.99092926491656,537.3326830024968,4864.8569897216585
1785336532.9357529,LeftHybridRe,inactive,True,36.495895076137685,118.36580951272026,425.5662885212708,2363.947282266159
1785336532.9357529,RightHybridRe,inactive,True,26.725160970264024,218.13785693419987,406.3183957290169,2377.280845921581
1785336532.9357529,DownHybridRe,inactive,True,33.597007112823526,179.81428648726126,465.91989193845944,2353.6842364095646
1785336532.9357529,UpHybridRe,inactive,True,30.93405275718809,156.94752677808833,365.57233142231064,2408.3289509383467
1785336532.9357529,CloseRe,inactive,True,29.246018523006434,224.54426058666934,453.2281447700278,2127.683032127461
1785336532.9357529,OpenRe,inactive,True,37.39104376039472,132.57964824643193,470.5838987540127,2150.061864373376
1785336532.9357529,CloserHybridRe,inactive,True,25.84368153021696,205.46691069592407,361.31668746571484,2199.20557392151
1785336532.9357529,FartherHybridRe,inactive,True,35.62908392465547,110.77000645070126,380.2163052172904,2172.340315871861
1785336532.9357529,SwitchRef1,inactive,True,31.496543180164746,481.1995894914103,431.5157087798623,7860.868131922587
1785336533.4358096,SwitchRef2,inactive,True,39.0342373912041,173.03136445096624,537.1205482100462,4829.298413847169
1785336533.4358096,LeftHybridRe,inactive,True,36.44459120442941,118.08995170743583,425.4115120956974,2359.740826062178
1785336533.4358096,RightHybridRe,inactive,True,26.72703797903816,217.9196283541458,406.5504768067987,2367.885363356072
1785336533.4358096,DownHybridRe,inactive,True,33.61710402418021,179.48529442990719,465.80777624261634,2342.707136448749
1785336533.4358096,UpHybridRe,inactive,True,30.84023085091805,156.8010111221048,365.6951171768419,2405.791694368574
1785336533.4358096,CloseRe,inactive,True,29.301999660212957,224.20893246958016,453.2996890415056,2115.8498012721902
1785336533.4358096,OpenRe,inactive,True,37.37961219204996,132.24635942430353,470.32197925874243,2142.3582536137474
