timestamp,pupil_hardware_timestamp,event_count,bin_count,active_model,num_bins,total_samples,current_rmse
1781793170.044486212,1781793159.732352972,60,23,Radial Complete,730,24.584173649555325
1781793184.771717793,1781793178.664820910,66,ACTION_RESET_RESUME,0,0,0.0
1781793289.292651996,1781793282.775320053,113,29,Radial Concentric,979,27.905802853483465
1781793307.228336136,1781793301.057917118,117,ACTION_RESET_RESUME,0,0,0.0
1781793424.891825575,1781793420.192851067,180,26,Bias,753,30.521200109536668
1781793426.244258328,1781793420.192851067,180,26,Bias,753,30.521200109536668
1781793440.356470679,1781793434.611188889,185,ACTION_RESET_RESUME,0,0,0.0
1781793715.549358311,1781793708.504662991,347,33,Radial Concentric,1251,22.807998785176835
1781793741.740003287,1781793734.768244028,356,ACTION_RESET_RESUME,0,0,0.0
1781793752.379800790,1781793744.642937899,362,ACTION_RESET_RESUME,0,0,0.0
