timestamp,pupil_hardware_timestamp,event_count,bin_count,button_id,active_model,Raw,Bias,Linear,Radial Concentric,Simple Radial,Raw 2,Radial Complete,Conic
1780416273.728337304,1780415688.346915007,0,2,LeftHybridRe,Bias,6.963678885780268,5.436689365549363,5.436689365549363,5.436689365549363,5.436689365549363,6.963678885780268,5.436689365549363,5.436689365549363
1780416279.847888226,1780415694.211760998,1,5,FartherHybridRe,Bias,7.770009297025025,5.462260775601061,5.462260775601061,5.460992996028634,5.462260775601061,7.770009297025025,5.462260775601061,5.462260775601061
1780416281.012612592,1780415695.598246098,2,5,FartherHybridRe,Bias,8.120957689097555,5.801973663654004,5.801973663654004,5.798487849867365,5.801973663654004,8.120957689097555,5.801973663654004,5.801973663654004
1780416287.845921988,1780415702.284363031,3,6,LeftHybridRe,Bias,7.7673345931266535,5.653840890202322,5.653840890202322,5.6656182950055864,5.653840890202322,7.7673345931266535,5.653840890202322,5.653840890202322
1780416289.780518319,1780415704.346597910,4,7,FartherHybridRe,Bias,7.736746087799695,5.905820629196739,5.905820629196739,5.856195559914592,5.905820629196739,7.736746087799695,5.905820629196739,5.905820629196739
1780416293.624857636,1780415708.169965982,5,8,DownHybridRe,Bias,7.86527151413482,6.0068874140123185,6.0068874140123185,5.852985356541057,6.0068874140123185,7.86527151413482,6.0068874140123185,6.0068874140123185
1780416294.499756784,1780415709.105854988,6,9,DownHybridRe,Radial Concentric,17.173174561615337,17.142326846642298,17.142326846642298,14.804570066388036,17.142326846642298,17.173174561615337,17.142326846642298,17.142326846642298
1780416297.807797309,1780415712.338793039,7,10,A,Radial Concentric,16.870328179248123,16.30590471693535,16.30590471693535,14.325117766697481,16.30590471693535,16.870328179248123,16.30590471693535,16.30590471693535
1780416298.805970859,1780415713.379507065,8,10,A,Radial Concentric,16.870328179248123,16.30590471693535,16.30590471693535,14.325117766697481,16.30590471693535,16.870328179248123,16.30590471693535,16.30590471693535
1780416301.835299508,1780415716.392267942,9,10,UpHybridRe,Radial Concentric,16.77713315417046,16.243458299316384,16.243458299316384,14.377719457335395,16.243458299316384,16.77713315417046,16.243458299316384,16.243458299316384
1780416305.920044142,1780415720.471692085,10,10,UpHybridRe,Radial Concentric,16.70471892473808,15.970179874161184,15.970179874161184,14.004098094022934,15.970179874161184,16.70471892473808,15.970179874161184,15.970179874161184
1780416306.608512719,1780415721.202457905,11,10,UpHybridRe,Radial Concentric,16.70471892473808,15.970179874161184,15.970179874161184,14.004098094022934,15.970179874161184,16.70471892473808,15.970179874161184,15.970179874161184
1780416308.903355624,1780415723.484724998,12,10,DownHybridRe,Radial Concentric,16.919212265899674,16.386179180993683,16.386179180993683,14.685604281915069,16.386179180993683,16.919212265899674,16.386179180993683,16.386179180993683
1780416309.841357592,1780415724.255491972,13,10,DownHybridRe,Radial Concentric,17.450758915641675,16.868604506902724,16.868604506902724,14.896833664801731,16.868604506902724,17.450758915641675,16.868604506902724,16.868604506902724
1780416311.973025895,1780415726.452075005,14,11,B,Radial Concentric,16.671420055980036,16.151338374476268,16.151338374476268,14.632858866020895,16.0389819421708,16.671420055980036,16.151338374476268,16.151338374476268
1780416314.365896794,1780415728.844527006,15,11,LeftHybridRe,Radial Concentric,16.452351178158008,15.840026528572098,15.840026528572098,13.928702951774506,15.713476831884268,16.452351178158008,15.840026528572098,15.840026528572098
1780416317.152253219,1780415731.701771975,16,11,A,Radial Concentric,16.376277190854076,15.810916009959842,15.810916009959842,13.799860175766202,15.687969787193692,16.376277190854076,15.810916009959842,15.810916009959842
1780416317.850866872,1780415732.462404966,17,11,A,Radial Concentric,16.376277190854076,15.810916009959842,15.810916009959842,13.799860175766202,15.687969787193692,16.376277190854076,15.810916009959842,15.810916009959842
1780416319.102356500,1780415733.678539038,18,11,DownHybridRe,Radial Concentric,14.406280214899216,14.109234198488757,14.109234198488757,13.34883547184628,13.989467662576455,14.406280214899216,14.109234198488757,14.109234198488757
