timestamp,accel_x,accel_y,accel_z,accel_rms,gyro_x,gyro_y,gyro_z,gyro_rms
1780415959.232654,-0.03759765625,-0.0654296875,0.9848632216453552,0.9877500661156692,-0.6694793701171875,-1.2836456298828125,0.1201629638671875,1.4527174081751397
1780415959.242248,-0.0317382775247097,-0.06689453125,0.9853515028953552,0.9881294352611544,-0.8525848388671875,-1.4667510986328125,0.5474090576171875,1.7826711332065956
1780415959.251842,-0.0258789025247097,-0.0585937462747097,0.9912108778953552,0.9932783845209102,-0.48828125,-2.13623046875,1.0356903076171875,2.4237478433223187
1780415959.261436,-0.0302734337747097,-0.06396484375,0.9877929091453552,0.9903246000106821,-0.9765625,-2.38037109375,0.9746551513671875,2.751325775776728
1780415959.271029,-0.0356445275247097,-0.0693359375,0.9809569716453552,0.9840500926228756,-1.0967254638671875,-2.9315948486328125,1.4019012451171875,3.429632954222108
1780415959.281667,-0.0263671837747097,-0.0654296875,0.9819335341453552,0.9844641882088675,-1.1577606201171875,-3.2367706298828125,2.0122528076171875,3.9832468070318425
1780415959.292303,-0.030273430049419403,-0.07666015625,0.9755858778953552,0.9790613184433764,-1.2187957763671875,-3.8471221923828125,2.0732879638671875,4.536996284848752
1780415959.302939,-0.0297851525247097,-0.0532226525247097,0.9838866591453552,0.9857752097191806,-1.0356903076171875,-3.8471221923828125,2.4394989013671875,4.6716333831100485
1780415959.313663,-0.0322265625,-0.04638671875,0.9892577528953552,0.9908689018586292,-0.8525848388671875,-3.1108856201171875,2.6836395263671875,4.196001829885014
1780415959.32439,-0.014648433774709702,-0.0478515662252903,0.9882811903953552,0.9895474017405764,-0.5474090576171875,-2.2602081298828125,2.3174285888671875,3.283088900905466
1780415959.335115,-0.008789058774709702,-0.0634765625,0.9892577528953552,0.9913311370094906,-0.362396240234375,-2.01416015625,1.8901824951171875,2.7858503252702707
1780415959.345868,-0.00048827752470970154,-0.0527343787252903,0.9868163466453552,0.9882244963169904,-0.3643035888671875,-1.1577606201171875,1.3408660888671875,1.8086040546868283
1780415959.356621,-0.010742180049419403,-0.0703125,0.9873046278953552,0.9898634604590928,-0.42724609375,-0.8544921875,0.9136199951171875,1.3218916818715134
1780415959.367373,-0.01904296875,-0.0546875,0.9760741591453552,0.9777904281932687,-0.48828125,-0.48828125,0.7305145263671875,1.005230635942121
1780415959.375482,-0.00927734375,-0.06396484375,0.9960936903953552,0.9981884643635466,-1.28173828125,0.42724609375,-0.4291534423828125,1.417591239869715
