timestamp,input_id,status,button_status,percent
timestamp,x,y,z
timestamp,LX,LY,RX,RY,LT,RT,DPAD_X,DPAD_Y,A,B,X,Y,LB,RB,LT,RT,BACK,START,LS,RS,UP,DOWN,LEFT,RIGHT
2024-08-16 13:01:36.178603,0.49704818725585936,0.5417904154459635,1.0
2024-08-16 13:01:36.204119,0.4976386260986328,0.538587392171224,1.0
2024-08-16 13:01:36.243977,S1Y_+1,active,0,1.0
2024-08-16 13:01:36.238665,0.4982985687255859,0.5372639465332031,1.0
2024-08-16 13:01:36.246746,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 13:01:36.281951,S1Y_+1,active,0,1.0
2024-08-16 13:01:36.269670,0.49912548065185547,0.5371941121419271,1.0
2024-08-16 13:01:36.282715,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 13:01:36.299899,0.5044051742553711,0.5331748453776042,1.0
2024-08-16 13:01:36.315823,S1Y_+1,active,0,1.0
2024-08-16 13:01:36.316828,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 13:01:36.340170,0.502461051940918,0.5290965270996094,1.0
2024-08-16 13:01:36.352882,S1Y_+1,active,0,1.0
2024-08-16 13:01:36.353792,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 13:01:36.375191,0.4989847946166992,0.5276882934570313,1.0
2024-08-16 13:01:36.387973,S1Y_+1,active,0,1.0
2024-08-16 13:01:36.388721,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 13:01:36.409071,0.5023729705810547,0.5306415303548178,1.0
2024-08-16 13:01:36.437386,S1Y_+1,active,0,1.0
2024-08-16 13:01:36.441267,0.5063394927978515,0.529712168375651,1.0
2024-08-16 13:01:36.439226,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 13:01:36.485145,S1Y_+1,active,0,1.0
2024-08-16 13:01:36.476227,0.5032289505004883,0.5294537353515625,1.0
2024-08-16 13:01:36.487682,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 13:01:36.510946,0.5055193328857421,0.53183837890625,1.0
2024-08-16 13:01:36.537617,S1Y_+1,active,0,1.0
2024-08-16 13:01:36.544545,S1Y_+1,active,0,1.0
2024-08-16 13:01:36.539287,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 13:01:36.550552,0.5064949417114257,0.5278001403808594,1.0
2024-08-16 13:01:36.545635,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 13:01:36.577053,S1Y_+1,active,0,1.0
2024-08-16 13:01:36.582328,0.5024724197387695,0.5290296427408854,1.0
2024-08-16 13:01:36.578026,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 13:01:36.612760,S1Y_+1,active,0,1.0
2024-08-16 13:01:36.607954,0.5041547012329102,0.5337813313802083,1.0
2024-08-16 13:01:36.613702,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 13:01:36.639094,0.5023819351196289,0.5288234456380209,1.0
2024-08-16 13:01:36.648102,S1Y_+1,active,0,1.0
2024-08-16 13:01:36.648980,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 13:01:36.681375,S1Y_+1,active,0,1.0
2024-08-16 13:01:36.679407,0.5069286346435546,0.5320071411132813,1.0
2024-08-16 13:01:36.682499,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 13:01:36.708764,S1Y_+1,active,0,1.0
2024-08-16 13:01:36.712972,0.5051688766479492,0.5304471842447916,1.0
2024-08-16 13:01:36.710816,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 13:01:36.730070,S1Y_+1,active,0,1.0
2024-08-16 13:01:36.735255,0.5044297409057618,0.5250931803385417,1.0
2024-08-16 13:01:36.731817,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 13:01:36.771025,S1Y_+1,active,0,1.0
2024-08-16 13:01:36.772661,0.5058906555175782,0.51913330078125,1.0
2024-08-16 13:01:36.773711,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-16 13:01:36.817782,S1Y_+1,active,0,1.0
2024-08-16 13:01:36.812501,0.5080389785766601,0.5193632507324218,1.0
2024-08-16 13:01:36.819453,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
