timestamp,diameter_left,diameter_right,gaze_x,gaze_y
1779898046.969038,3.998063802719116,4.431677341461182,924.8115234375,759.2576904296875
1779898046.974037,4.01643705368042,4.3140869140625,926.0594482421875,752.6539306640625
1779898046.979038,3.9907143115997314,4.446375846862793,921.5386962890625,758.0980224609375
1779898046.984037,3.9392685890197754,4.354508876800537,907.689208984375,759.530517578125
1779898046.989038,3.913545846939087,4.306737899780273,906.831298828125,758.1514892578125
1779898046.994037,3.9319193363189697,4.152400493621826,911.8963623046875,752.111572265625
1779898046.999038,3.924569845199585,4.3140869140625,912.868896484375,755.386962890625
1779898047.004037,3.953967332839966,4.490472316741943,915.859130859375,757.2308349609375
1779898047.009037,3.924569845199585,4.233243942260742,914.280029296875,756.026123046875
1779898047.014049,3.9686660766601562,4.475773334503174,920.7010498046875,748.07470703125
1779898047.019037,3.9796903133392334,4.534568786621094,925.9864501953125,754.2232666015625
1779898047.024038,3.9172205924987793,4.303062915802002,925.1749267578125,754.438232421875
1779898047.029037,3.9613168239593506,4.299388408660889,927.575439453125,753.750732421875
1779898047.03416,3.8878228664398193,4.350833892822266,922.3387451171875,758.4139404296875
1779898047.03916,3.8804736137390137,4.170773983001709,924.322021484375,759.8065185546875
1779898047.04416,3.9282445907592773,4.490472316741943,924.013671875,759.5819091796875
1779898047.04916,3.9172205924987793,4.233243942260742,922.399169921875,762.0474853515625
1779898047.05416,3.9025216102600098,4.189147472381592,922.08349609375,759.109375
1779898047.05916,3.9025216102600098,4.225894451141357,925.3367919921875,751.0743408203125
1779898047.06416,3.9833648204803467,4.240593433380127,924.8350830078125,751.9451904296875
1779898047.06916,3.953967332839966,4.196496963500977,921.7906494140625,751.4454345703125
1779898047.07416,3.862100124359131,4.06053352355957,923.972412109375,754.7637939453125
1779898047.07916,3.924569845199585,4.218544960021973,921.831298828125,756.753662109375
1779898047.08416,3.843726634979248,4.2479424476623535,920.58837890625,755.656005859375
1779898047.08916,3.935593843460083,4.2479424476623535,922.63671875,753.1177978515625
1779898047.09416,3.906196355819702,4.100955009460449,924.6849365234375,751.6649169921875
1779898047.09916,3.8584253787994385,4.35818338394165,921.3515625,755.3372802734375
1779898047.10416,3.8069796562194824,4.20017147064209,921.45703125,754.3575439453125
1779898047.10916,3.851076126098633,4.181798458099365,921.56640625,753.31640625
1779898047.114171,3.9025216102600098,4.20017147064209,922.23046875,753.069091796875
1779898047.11916,3.8804736137390137,4.295713424682617,925.718994140625,750.0013427734375
1779898047.12416,3.8584253787994385,4.207520961761475,924.612548828125,750.3253173828125
1779898047.129171,3.9319193363189697,4.339809894561768,922.15966796875,743.84423828125
1779898047.134171,3.884148359298706,4.156075477600098,922.2344970703125,745.40771484375
1779898047.139171,3.924569845199585,4.211195945739746,922.6435546875,745.2625732421875
1779898047.14416,3.8584253787994385,4.295713424682617,925.060791015625,746.0040283203125
1779898047.14916,3.9392685890197754,4.3287858963012695,924.197021484375,745.97705078125
1779898047.154171,3.884148359298706,4.229569435119629,924.0845947265625,744.979248046875
1779898047.15916,3.9172205924987793,4.3140869140625,925.3878173828125,741.2459716796875
1779898047.16416,3.9796903133392334,4.321436405181885,923.25830078125,740.58251953125
1779898047.169293,3.821678638458252,4.152400493621826,924.51025390625,738.2540283203125
1779898047.174293,3.8584253787994385,4.137701988220215,926.4561767578125,742.9210205078125
1779898047.179293,3.9613168239593506,4.181798458099365,924.78955078125,746.553955078125
1779898047.184293,4.005413055419922,4.126677989959717,906.7384033203125,746.90625
1779898047.189293,3.987039566040039,4.111979007720947,891.674560546875,733.23779296875
1779898047.194293,4.0311360359191895,4.387580871582031,869.602294921875,720.252197265625
1779898047.199293,4.034810543060303,4.347159385681152,855.9171142578125,677.295654296875
1779898047.204293,4.078907012939453,4.189147472381592,837.320068359375,674.7044677734375
1779898047.209293,4.100955009460449,3.9907143115997314,841.0732421875,671.661865234375
1779898047.214293,3.994389057159424,4.0421600341796875,842.51708984375,672.0640869140625
1779898047.219293,4.023786544799805,4.071557521820068,839.817626953125,672.2135009765625
1779898047.224293,4.045834541320801,4.123003005981445,840.54833984375,672.6578369140625
1779898047.229293,4.078907012939453,3.8694496154785156,839.1868896484375,675.6773681640625
1779898047.234293,4.056858539581299,3.9723408222198486,838.4913330078125,682.127197265625
1779898047.239293,4.005413055419922,3.964991569519043,839.049072265625,680.998046875
1779898047.244293,4.056858539581299,4.020112037658691,842.25,669.8704833984375
1779898047.249293,3.9723408222198486,3.843726634979248,843.93359375,671.3311767578125
1779898047.254293,3.9833648204803467,3.9833648204803467,846.0693359375,668.3924560546875
1779898047.259293,4.027461051940918,4.0531840324401855,846.1552734375,667.2982177734375
1779898047.264293,4.049509525299072,3.9025216102600098,845.1630859375,667.2978515625
1779898047.269293,4.020112037658691,4.0936055183410645,845.0343017578125,663.001708984375
1779898047.274293,3.987039566040039,4.20017147064209,844.689697265625,664.971923828125
1779898047.279293,3.9025216102600098,3.884148359298706,845.8204345703125,664.2657470703125
1779898047.284293,3.976015567779541,4.1854729652404785,848.92626953125,662.58837890625
1779898047.289293,3.9392685890197754,3.9613168239593506,841.4736328125,664.6461181640625
1779898047.294293,3.895172357559204,4.156075477600098,841.960693359375,666.603515625
1779898047.299293,3.924569845199585,4.038485527038574,842.086181640625,662.73876953125
1779898047.304415,3.9613168239593506,4.225894451141357,840.1343994140625,662.060302734375
1779898047.309415,3.8657748699188232,3.9282445907592773,844.0467529296875,660.7979736328125
1779898047.314415,3.8694496154785156,4.027461051940918,846.7496337890625,660.4901123046875
1779898047.319415,3.957642078399658,3.9686660766601562,850.5341796875,662.426025390625
1779898047.324415,3.8767988681793213,4.01643705368042,850.9920654296875,663.78515625
1779898047.329415,3.9613168239593506,3.9025216102600098,851.4937744140625,663.24951171875
1779898047.334415,3.9098711013793945,4.086256504058838,852.4705810546875,662.95068359375
1779898047.339426,3.9907143115997314,3.9796903133392334,852.4755859375,661.5732421875
1779898047.344415,3.976015567779541,4.218544960021973,853.7166748046875,662.48974609375
1779898047.349415,3.9172205924987793,4.0936055183410645,853.67626953125,661.696533203125
1779898047.354415,3.884148359298706,3.8694496154785156,853.54248046875,663.6041259765625
1779898047.359415,3.8363773822784424,4.078907012939453,851.783447265625,663.950439453125
1779898047.364415,3.9025216102600098,4.361857891082764,852.564453125,665.0732421875
1779898047.369415,3.9282445907592773,4.100955009460449,850.170654296875,667.0869140625
1779898047.374415,3.953967332839966,4.398604869842529,850.808349609375,665.3072509765625
1779898047.379415,3.9098711013793945,4.159749984741211,851.55810546875,665.2724609375
1779898047.384415,3.851076126098633,3.976015567779541,852.790283203125,666.798583984375
1779898047.389415,3.9319193363189697,4.288364410400391,850.6822509765625,665.749755859375
1779898047.394415,3.8914976119995117,4.067883014678955,848.6395263671875,659.95703125
1779898047.399415,3.9833648204803467,4.012762546539307,846.885009765625,678.3636474609375
1779898047.404415,3.9429433345794678,4.086256504058838,851.2506103515625,675.082763671875
1779898047.409415,3.8804736137390137,4.0421600341796875,853.3248291015625,671.1297607421875
1779898047.414415,3.9833648204803467,4.167099475860596,851.56884765625,674.4656982421875
1779898047.419426,3.895172357559204,4.295713424682617,849.80078125,675.678466796875
1779898047.424415,3.8657748699188232,4.049509525299072,853.1842041015625,668.9825439453125
1779898047.429415,3.895172357559204,4.126677989959717,851.2744140625,666.4560546875
1779898047.434415,3.94661808013916,3.987039566040039,850.6912841796875,667.341552734375
1779898047.439415,3.924569845199585,4.1854729652404785,843.5904541015625,670.1612548828125
1779898047.444537,4.034810543060303,4.034810543060303,846.22607421875,670.8955078125
1779898047.449538,3.9723408222198486,3.8694496154785156,846.9661865234375,674.77392578125
1779898047.454537,3.9502928256988525,4.13035249710083,843.0400390625,679.399169921875
1779898047.459538,3.9833648204803467,4.233243942260742,843.1888427734375,675.34375
1779898047.464537,3.994389057159424,4.178123474121094,843.3466796875,675.8773193359375
1779898047.469537,3.94661808013916,3.9686660766601562,843.1416015625,673.7159423828125
1779898047.474537,3.9282445907592773,4.148725986480713,839.26416015625,677.0877685546875
1779898047.479537,4.06053352355957,4.108304500579834,839.235107421875,677.16015625
1779898047.484538,4.023786544799805,4.178123474121094,839.51220703125,676.6904296875
1779898047.489549,4.023786544799805,4.159749984741211,838.9464111328125,675.7188720703125
1779898047.494549,3.9502928256988525,4.1744489669799805,838.195556640625,679.5352783203125
1779898047.499537,3.9098711013793945,3.9723408222198486,840.3634033203125,677.814453125
1779898047.504538,4.001738548278809,3.976015567779541,839.5224609375,677.6448974609375
1779898047.509549,4.0421600341796875,3.9907143115997314,835.0540771484375,680.070068359375
1779898047.514549,3.873124122619629,4.023786544799805,843.220947265625,673.5008544921875
1779898047.519537,3.994389057159424,4.431677341461182,846.7452392578125,669.813232421875
1779898047.524538,3.8804736137390137,3.994389057159424,845.103515625,668.085693359375
1779898047.529537,3.9833648204803467,4.167099475860596,843.09619140625,674.607421875
1779898047.534538,3.94661808013916,3.94661808013916,843.351318359375,676.38037109375
1779898047.539537,3.953967332839966,3.895172357559204,849.14453125,671.7574462890625
1779898047.544538,3.9392685890197754,3.913545846939087,846.82958984375,671.2509765625
1779898047.549537,3.924569845199585,4.020112037658691,846.6435546875,677.1043701171875
1779898047.554538,3.9613168239593506,4.071557521820068,846.282958984375,677.5015869140625
1779898047.559537,3.9098711013793945,4.233243942260742,842.495849609375,670.469482421875
1779898047.564548,4.012762546539307,4.137701988220215,841.5384521484375,671.1829833984375
1779898047.574538,4.038485527038574,4.181798458099365,840.0792236328125,673.3876953125
1779898047.579671,3.9723408222198486,4.01643705368042,840.466552734375,674.9482421875
1779898047.584671,3.9613168239593506,3.9686660766601562,840.201904296875,675.8416748046875
1779898047.589671,3.9172205924987793,4.023786544799805,841.0849609375,680.0850830078125
1779898047.594671,4.023786544799805,4.001738548278809,840.37939453125,681.357421875
1779898047.599671,3.953967332839966,4.1450514793396,840.2779541015625,675.61083984375
1779898047.604671,3.9833648204803467,3.9098711013793945,842.4683837890625,670.735595703125
1779898047.609671,3.9613168239593506,4.005413055419922,842.86376953125,675.7803955078125
1779898047.614671,3.9833648204803467,3.994389057159424,842.8377685546875,677.44091796875
1779898047.619671,3.9429433345794678,4.005413055419922,842.3404541015625,678.83154296875
1779898047.624671,3.9686660766601562,3.9613168239593506,841.9073486328125,676.4554443359375
1779898047.629671,4.001738548278809,4.119328498840332,842.636962890625,675.1329345703125
1779898047.639671,3.9833648204803467,3.9907143115997314,842.2513427734375,677.35498046875
1779898047.644671,3.964991569519043,3.9833648204803467,841.9498291015625,679.1224365234375
1779898047.649671,3.9613168239593506,4.170773983001709,840.2042236328125,677.3505859375
1779898047.654671,3.9723408222198486,3.957642078399658,838.8118896484375,674.0062255859375
1779898047.659671,3.9208950996398926,4.005413055419922,838.0001220703125,674.3575439453125
1779898047.664671,3.9098711013793945,3.873124122619629,838.4228515625,675.2752685546875
1779898047.669671,3.9833648204803467,4.1450514793396,844.6898193359375,677.69287109375
1779898047.674671,3.998063802719116,4.108304500579834,840.76318359375,679.9305419921875
1779898047.679671,3.9833648204803467,4.0421600341796875,838.8619384765625,680.7742919921875
1779898047.684671,4.012762546539307,4.284689426422119,837.9649658203125,682.7491455078125
1779898047.689682,4.005413055419922,4.167099475860596,837.959228515625,682.89453125
1779898047.694671,4.0421600341796875,4.1450514793396,840.3270263671875,681.468505859375
1779898047.699671,3.9723408222198486,4.064208030700684,837.434326171875,678.51806640625
1779898047.704671,3.9686660766601562,4.167099475860596,835.056884765625,682.6043701171875
1779898047.709671,4.005413055419922,4.056858539581299,839.0753173828125,676.91259765625
1779898047.714793,3.964991569519043,4.034810543060303,838.2716064453125,678.662109375
1779898047.719793,4.005413055419922,3.8069796562194824,836.9227294921875,671.2581787109375
1779898047.724793,4.005413055419922,4.1854729652404785,838.0460205078125,671.3072509765625
