timestamp,pupil_hardware_timestamp,event_count,bin_count,active_model,Raw,Bias,Linear,Radial Concentric,Simple Radial,Sigmoid X+Y,Radial Complete,Conic
1774953627.599582891,1774953139.908843994,0,2,Bias,134.67112943123104,131.2821031569024,131.2821031569024,131.2821031569024,131.2821031569024,131.2821031569024,131.2821031569024,131.2821031569024
1774953631.001660203,1774953143.171895027,1,2,Bias,139.01761362185886,129.93763952103728,129.93763952103728,129.93763952103728,129.93763952103728,129.93763952103728,129.93763952103728,129.93763952103728
1774953636.590795453,1774953148.877063989,2,3,Bias,85.1986487803254,86.20634034261586,86.20634034261586,86.20634034261586,86.20634034261586,86.20634034261586,86.20634034261586,86.20634034261586
1774953639.560995341,1774953151.759418964,3,3,Bias,32.110736899232826,31.269828513381313,31.269828513381313,31.269828513381313,31.269828513381313,31.269828513381313,31.269828513381313,31.269828513381313
1774953645.279338183,1774953157.410017967,4,6,Linear,62.976154689703456,62.085586260938435,50.27760274428185,51.76855053517366,55.03663982147878,62.085586260938435,62.085586260938435,62.085586260938435
1774953653.079821988,1774953165.242055892,5,7,Linear,58.620879261025166,58.63836582233585,47.27781075313055,61.92023251734319,52.83362651898072,58.63836582233585,58.63836582233585,58.63836582233585
1774953655.499701314,1774953167.814301013,6,7,Linear,52.81783150754327,51.12416282085028,38.829139119898024,58.837799882772714,43.88353495863787,51.12416282085028,51.12416282085028,51.12416282085028
1774953667.722952863,1774953180.105453014,7,7,Linear,36.80542031612198,36.86834669512659,34.577236638904495,39.40655733232905,36.31003666283074,36.86834669512659,36.86834669512659,36.86834669512659
1774953669.596185475,1774953181.707603931,8,7,Linear,36.44306526181359,36.4299213702337,33.46801460071012,39.38007759717796,35.47924857601365,36.4299213702337,36.4299213702337,36.4299213702337
1774953671.147307607,1774953183.373776912,9,7,Linear,40.125320893402176,40.244372496202594,35.83410023260963,52.272792891870026,37.46323790920698,40.244372496202594,40.244372496202594,40.244372496202594
1774953673.264517526,1774953185.540766000,10,7,Linear,40.189873138758294,40.156397624096854,35.18051938065664,52.10715730521202,36.91288413106976,40.156397624096854,40.156397624096854,40.156397624096854
1774953675.896591374,1774953188.018917083,11,7,Linear,39.78452641892063,40.14699616604098,36.94203703525402,50.811702382094275,38.323481651848965,40.14699616604098,40.14699616604098,40.14699616604098
1774953682.907578389,1774953195.155072927,12,1,Bias,88.7215288165415,9.504799353772468,9.504799353772468,9.504799353772468,9.504799353772468,9.504799353772468,9.504799353772468,9.504799353772468
1774953686.251986401,1774953198.492841958,13,2,Bias,73.24188659635554,9.786676600859707,9.786676600859707,9.786676600859707,9.786676600859707,9.786676600859707,9.786676600859707,9.786676600859707
1774953688.931737075,1774953201.135341882,14,2,Bias,63.25813755593139,18.83073268718743,18.83073268718743,18.83073268718743,18.83073268718743,18.83073268718743,18.83073268718743,18.83073268718743
1774953692.598567659,1774953204.859056949,15,4,Bias,77.05328660366811,49.27104351612774,49.27104351612774,49.27104351612774,49.27104351612774,49.27104351612774,49.27104351612774,49.27104351612774
1774953695.868956387,1774953208.127460956,16,4,Bias,74.80885100347489,49.247721929689874,49.247721929689874,49.247721929689874,49.247721929689874,49.247721929689874,49.247721929689874,49.247721929689874
1774953698.432232538,1774953210.704024076,17,4,Bias,74.14912671905391,50.75473903635601,50.75473903635601,50.75473903635601,50.75473903635601,50.75473903635601,50.75473903635601,50.75473903635601
1774953702.296752118,1774953214.453130960,18,4,Bias,73.99753317682209,48.40909227206472,48.40909227206472,48.40909227206472,48.40909227206472,48.40909227206472,48.40909227206472,48.40909227206472
1774953705.628646579,1774953217.860508918,19,4,Bias,74.82986968440227,52.91348215030365,52.91348215030365,52.91348215030365,52.91348215030365,52.91348215030365,52.91348215030365,52.91348215030365
1774953714.562685076,1774953226.814502954,20,1,Bias,37.81212658077547,7.731843149549025,7.731843149549025,7.731843149549025,7.731843149549025,7.731843149549025,7.731843149549025,7.731843149549025
1774953717.398377891,1774953229.597095012,21,4,Bias,26.298485970370287,10.544158708777353,10.544158708777353,10.544158708777353,10.544158708777353,10.544158708777353,10.544158708777353,10.544158708777353
1774953722.902506159,1774953235.131764888,22,5,Linear,33.10355064688408,34.10382711858022,11.784040322492494,20.491513512326293,16.137254497890954,34.10382711858022,34.10382711858022,34.10382711858022
1774953725.120324711,1774953237.389374017,23,5,Linear,35.945912786119145,34.40538874134954,10.521426619855827,20.895542928440246,14.492196013046266,34.40538874134954,34.40538874134954,34.40538874134954
1774953727.612073578,1774953239.891640901,24,5,Linear,34.517219165592735,32.80009829690403,11.750693071840129,23.81540002022094,15.1225556110357,32.80009829690403,32.80009829690403,32.80009829690403
1774953728.121030320,1774953240.336519002,25,5,Linear,34.22339202471371,32.38671625430743,11.782108569951827,22.655048906586224,14.999584897942578,32.38671625430743,32.38671625430743,32.38671625430743
1774953731.165692864,1774953243.369340896,26,7,Linear,35.3471033955077,30.57368153485562,14.720635789395772,23.66788608784789,17.790760087161804,30.57368153485562,30.57368153485562,30.57368153485562
1774953733.943904665,1774953246.201951980,27,7,Linear,35.6107861213867,30.453595674140203,13.382493898601648,21.19894810922457,16.03720202965446,30.453595674140203,30.453595674140203,30.453595674140203
1774953736.726204555,1774953248.969094991,28,7,Linear,34.36475472959431,30.55569759415623,15.44846924223457,21.984480730218543,17.473568954884694,30.55569759415623,30.55569759415623,30.55569759415623
1774953741.941895986,1774953254.199213981,29,7,Linear,33.31414214884651,30.70891165122235,16.389267728489564,22.145616240110048,18.156190644216252,30.70891165122235,30.70891165122235,30.70891165122235
1774953743.765161540,1774953256.066399097,30,7,Linear,33.357956686813445,30.544585114697504,16.035876473173445,22.238465015643953,17.9654948304116,30.544585114697504,30.544585114697504,30.544585114697504
1774953747.522780187,1774953259.774569988,31,7,Linear,34.09320252506388,30.8582659160095,15.74474762222368,21.469399462314755,18.04091476143886,30.8582659160095,30.8582659160095,30.8582659160095
1774953749.861783941,1774953262.026298999,32,7,Linear,32.941307211430725,30.476359859999484,15.53644534090046,19.66756145735219,17.9624026823517,30.476359859999484,30.476359859999484,30.476359859999484
1774953759.005347551,1774953271.219999074,33,7,Linear,32.986427181717325,30.35385533514849,14.994974299701212,19.449582515156244,17.578841812998395,30.35385533514849,30.35385533514849,30.35385533514849
1774953760.965204060,1774953273.196854114,34,7,Linear,32.680582492355775,30.526875733235748,15.161595727465231,19.75819247381116,17.71607171402247,30.526875733235748,30.526875733235748,30.526875733235748
1774953763.370750938,1774953275.644124031,35,7,Linear,32.67443770036666,30.79495619259857,15.36976365639072,18.659363300413883,18.16147707754099,30.79495619259857,30.79495619259857,30.79495619259857
1774953765.819389268,1774953278.106537103,36,7,Linear,44.182721831225244,43.80915856671149,37.63699461805816,37.43601104931135,38.85489010064438,43.80915856671149,43.80915856671149,43.80915856671149
1774953767.285921387,1774953279.587723970,37,7,Linear,44.52505359755635,44.11380233193356,37.79036376850294,37.58038747830278,39.120574713053365,44.11380233193356,44.11380233193356,44.11380233193356
1774953767.781639091,1774953280.008090972,38,7,Linear,44.54343706339036,44.10871564800515,37.748375030565064,37.54071333276944,39.11829429427378,44.10871564800515,44.10871564800515,44.10871564800515
1774953771.171121126,1774953283.391352891,39,7,Linear,44.24329987664308,43.609618441035295,38.14142577088803,37.932031078317436,39.000313265053826,43.609618441035295,43.609618441035295,43.609618441035295
1774953773.001320611,1774953285.317802906,40,7,Linear,44.37097673531032,43.69200167447232,38.00482078737802,37.77959005219185,38.993378908768996,43.69200167447232,43.69200167447232,43.69200167447232
1774953775.377630182,1774953287.680047988,41,7,Linear,45.13563998134636,44.54649593836032,39.23964634429818,39.088410584708505,40.1522182823208,44.54649593836032,44.54649593836032,44.54649593836032
1774953777.729528350,1774953289.927211046,42,7,Linear,45.17575532314476,44.76246125340909,39.43385453248808,39.44342482167102,40.359826799314206,44.76246125340909,44.76246125340909,44.76246125340909
1774953782.228166792,1774953294.516788959,43,7,Linear,45.111795695335054,44.751423632892156,39.402530665316256,39.38945036700513,40.355761159503366,44.751423632892156,44.751423632892156,44.751423632892156
1774953784.654430438,1774953296.869044065,44,8,Linear,44.20573881493691,44.20787099815468,38.44698738092503,39.664430256025284,39.58013923337384,44.20787099815468,44.20787099815468,44.20787099815468
1774953786.667151710,1774953299.000181913,45,8,Linear,43.37912059605577,43.12730482943037,36.948963419058394,38.18444885566153,38.59816327173129,43.12730482943037,43.12730482943037,43.12730482943037
1774953787.576129912,1774953299.665815114,46,8,Linear,43.49865176681607,43.23011870289053,37.010792491790674,38.34788873054336,38.72889787785416,43.23011870289053,43.23011870289053,43.23011870289053
1774953791.049291551,1774953303.319456100,47,8,Linear,43.64411864863306,43.08746686242061,36.43745554615488,38.4851871812951,38.497528053710006,43.08746686242061,43.08746686242061,43.08746686242061
1774953791.707954670,1774953304.025078058,48,8,Linear,43.509551314880504,42.993815606884766,36.6010876945335,38.41864562278371,38.498120164626826,42.993815606884766,42.993815606884766,42.993815606884766
1774953795.746793128,1774953307.618958950,49,10,Linear,39.5683624095975,39.57735469158657,34.5172344369984,35.488357494441566,35.98757397678568,34.1946153822518,39.57735469158657,39.57735469158657
1774953796.444978673,1774953308.739959001,50,10,Linear,39.26147471934537,39.344500391995844,34.50266298859336,35.52787443069304,35.802270417830194,34.255270015795816,39.344500391995844,39.344500391995844
1774953800.854088036,1774953313.183747053,51,10,Linear,39.36681502156603,39.80478569965474,35.17168404540164,36.28797801276164,36.21906876881965,35.03375138540559,39.80478569965474,39.80478569965474
