timestamp,pupil_hardware_timestamp,event_count,bin_count,active_model,Raw,Bias,Linear,Radial Concentric,Simple Radial,Sigmoid X+Y,Radial Complete,Conic
1774953627.599582891,1774953139.908843994,0,2,Bias,301.0825474283821,301.0825474283821,301.0825474283821,301.0825474283821,301.0825474283821,301.0825474283821,301.0825474283821,301.0825474283821
1774953631.001660203,1774953143.171895027,1,2,Bias,62.48461359268605,31.7216062357857,31.7216062357857,31.7216062357857,31.7216062357857,31.7216062357857,31.7216062357857,31.7216062357857
1774953636.590795453,1774953148.877063989,2,3,Bias,172.7323096508699,172.7323096508699,172.7323096508699,172.7323096508699,172.7323096508699,172.7323096508699,172.7323096508699,172.7323096508699
1774953639.560995341,1774953151.759418964,3,3,Bias,19.527679021809355,35.88096570770498,35.88096570770498,35.88096570770498,35.88096570770498,35.88096570770498,35.88096570770498,35.88096570770498
1774953645.279338183,1774953157.410017967,4,6,Linear,43.28353058641097,44.95868676031046,44.95868676031046,44.95868676031046,44.95868676031046,44.95868676031046,44.95868676031046,44.95868676031046
1774953653.079821988,1774953165.242055892,5,7,Linear,16.23084638962632,33.21223336907551,53.19317130374424,65.44691882750624,60.21783501756513,33.21223336907551,33.21223336907551,33.21223336907551
1774953655.499701314,1774953167.814301013,6,7,Linear,67.05218657779947,50.46428549912683,25.823489615341785,23.087217859523697,37.25945998018237,50.46428549912683,50.46428549912683,50.46428549912683
1774953667.722952863,1774953180.105453014,7,7,Linear,23.862401844842154,44.33098951622347,80.18887176204923,75.86288667881573,67.16475654522705,44.33098951622347,44.33098951622347,44.33098951622347
1774953669.596185475,1774953181.707603931,8,7,Linear,16.74900131498839,28.422595274666254,33.47248627733186,35.05014125177194,28.71723626888283,28.422595274666254,28.422595274666254,28.422595274666254
1774953671.147307607,1774953183.373776912,9,7,Linear,45.700437255312444,58.96142811605982,57.22445964112436,63.32038811465116,56.444935112258605,58.96142811605982,58.96142811605982,58.96142811605982
1774953673.264517526,1774953185.540766000,10,7,Linear,19.966540589804683,24.32334225872098,37.47902296845499,64.38069651710995,30.876975249483916,24.32334225872098,24.32334225872098,24.32334225872098
1774953675.896591374,1774953188.018917083,11,7,Linear,22.41607745064916,25.794921090254157,38.7402194013342,61.169445194190544,33.056649349399066,25.794921090254157,25.794921090254157,25.794921090254157
