timestamp,pupil_hardware_timestamp,event_count,bin_count,active_model,num_bins,total_samples,current_rmse
1779897354.037392811,1779896767.457241058,47,16,Radial Concentric,578,11.828167684595
1779897380.908491442,1779896794.831897020,51,ACTION_RESET_RESUME,0,0,0.0
1779897512.507839500,1779896919.948256016,100,31,Linear,1122,19.59768435301949
1779897527.675223325,1779896944.140609980,104,ACTION_RESET_RESUME,0,0,0.0
1779897657.450612501,1779897071.738615990,158,27,Simple Radial,867,18.665412353833077
1779897657.714760467,1779897071.738615990,158,27,Simple Radial,867,18.665412353833077
1779897674.975673184,1779897081.847378016,160,ACTION_RESET_RESUME,0,0,0.0
1779897702.082951647,1779897113.427306890,170,7,Radial Concentric,186,23.621754331229614
1779897713.060228838,1779897130.112653971,171,ACTION_RESET_RESUME,0,0,0.0
1779897730.386360085,1779897139.731475115,177,ACTION_RESET_RESUME,0,0,0.0
1779897783.496479202,1779897162.232650042,177,ACTION_RESET_RESUME,0,0,0.0
