timestamp,pupil_hardware_timestamp,event_count,bin_count,button_id,active_model,Raw,Bias,Linear,Radial Concentric,Simple Radial,Sigmoid X+Y,Radial Complete,Conic
1774978886.439439239,1774978397.882987976,0,1,,Bias,43.746775761011456,43.746775761011456,43.746775761011456,43.746775761011456,43.746775761011456,43.746775761011456,43.746775761011456,43.746775761011456
1774978888.867537272,1774978400.275440931,1,2,LeftHybridRe,Bias,42.3435262441275,21.080331832286557,21.080331832286557,21.080331832286557,21.080331832286557,21.080331832286557,21.080331832286557,21.080331832286557
1774978891.528681589,1774978402.887445926,2,3,FartherHybridRe,Bias,29.734984322790726,15.094615255513629,15.094615255513629,15.094615255513629,15.094615255513629,15.094615255513629,15.094615255513629,15.094615255513629
1774978893.674307693,1774978405.084456920,3,3,LeftHybridRe,Bias,24.314081279669605,20.258014950274667,20.258014950274667,20.258014950274667,20.258014950274667,20.258014950274667,20.258014950274667,20.258014950274667
1774978897.315761284,1774978408.693254947,4,4,DownHybridRe,Simple Radial,34.90926713782841,20.394894546252242,20.394894546252242,20.394894546252242,20.394894546252242,20.394894546252242,20.394894546252242,20.394894546252242
1774978916.682194193,1774978428.126487016,5,4,UpHybridRe,Simple Radial,10.320990487613356,29.3523060273765,29.3523060273765,29.3523060273765,28.65136498793914,29.3523060273765,29.3523060273765,29.3523060273765
1774978919.060111050,1774978430.448229074,6,4,LeftHybridRe,Simple Radial,17.301427327192265,19.342680189271032,19.342680189271032,19.342680189271032,19.166079962021982,19.342680189271032,19.342680189271032,19.342680189271032
1774978920.525341398,1774978431.904618024,7,4,LeftHybridRe,Simple Radial,13.834784397891726,20.684526596071326,20.684526596071326,20.684526596071326,19.13587499858221,20.684526596071326,20.684526596071326,20.684526596071326
1774978922.628550470,1774978434.011548042,8,4,CloserHybridRe,Simple Radial,30.555982434416354,35.34155698399659,35.34155698399659,35.34155698399659,35.420518175186906,35.34155698399659,35.34155698399659,35.34155698399659
1774978924.843879867,1774978436.204248905,9,4,CloserHybridRe,Simple Radial,27.686570434573465,29.398548164405856,29.398548164405856,29.398548164405856,29.18780637828243,29.398548164405856,29.398548164405856,29.398548164405856
1774978926.986284819,1774978438.396235942,10,4,CloserHybridRe,Simple Radial,31.711628832989415,21.06520558878136,21.06520558878136,21.06520558878136,20.1400177506429,21.06520558878136,21.06520558878136,21.06520558878136
1774978929.849832951,1774978441.233880996,11,4,CloserHybridRe,Simple Radial,32.22542934320684,18.801097871039207,18.801097871039207,18.801097871039207,17.010147985597303,18.801097871039207,18.801097871039207,18.801097871039207
1774978931.737722127,1774978443.099952936,12,5,LeftHybridRe,Simple Radial,12.922886008453338,33.396309418368936,33.396309418368936,33.396309418368936,32.256651355592766,33.396309418368936,33.396309418368936,33.396309418368936
1774978934.068180215,1774978445.447196006,13,5,RightHybridRe,Simple Radial,9.583767725498912,24.89310866901956,24.89310866901956,50.91895739001788,23.962224037065152,24.89310866901956,24.89310866901956,24.89310866901956
1774978935.812268570,1774978447.183840990,14,5,FartherHybridRe,Simple Radial,6.884607486597333,23.344905184066835,23.344905184066835,45.918391552924795,25.81777117638018,23.344905184066835,23.344905184066835,23.344905184066835
1774978938.261641301,1774978449.646074056,15,5,DownHybridRe,Simple Radial,8.939625282782336,24.25843735548823,24.25843735548823,62.26382594383579,20.18707017088368,24.25843735548823,24.25843735548823,24.25843735548823
1774978941.927973674,1774978453.319823980,16,5,CloserHybridRe,Simple Radial,19.05704605827506,21.382990740725436,21.382990740725436,47.87921168293624,21.705841386556774,21.382990740725436,21.382990740725436,21.382990740725436
1774978943.734609560,1774978455.136467933,17,5,DownHybridRe,Simple Radial,10.577051838274466,22.59248960729405,22.59248960729405,72.6762432727397,11.029749903151197,22.59248960729405,22.59248960729405,22.59248960729405
1774978946.739752325,1774978458.109221935,18,5,FartherHybridRe,Simple Radial,14.168620680402949,25.84669851522934,25.84669851522934,56.802786414208946,24.1350572536148,25.84669851522934,25.84669851522934,25.84669851522934
1774978950.644924500,1774978462.007961988,19,5,CloserHybridRe,Simple Radial,15.983364987187787,21.410879667998444,21.410879667998444,58.80627789564609,22.78435695541529,21.410879667998444,21.410879667998444,21.410879667998444
1774978960.045923809,1774978471.391455888,20,5,B,Simple Radial,33.396522405200216,26.643066518621335,26.643066518621335,30.859715548336332,23.356521989099853,26.643066518621335,26.643066518621335,26.643066518621335
1774978962.557028121,1774978474.003854990,21,5,UpHybridRe,Simple Radial,19.47387347499124,26.997033732518595,26.997033732518595,64.14452848915826,24.517455643795092,26.997033732518595,26.997033732518595,26.997033732518595
