timestamp,pupil_hardware_timestamp,event_count,bin_count,active_model,num_bins,total_samples,current_rmse
1779362162.125836043,1779361584.155199051,7,7,Radial Concentric,326,40.794247149524445
1779362186.468384081,1779361666.660638094,10,ACTION_RESET_RESUME,0,0,0.0
1779362269.116440607,1779361729.763405085,35,15,Simple Radial,1176,11.697602176341757
1779362302.668831456,1779361782.637465954,37,ACTION_RESET_RESUME,0,0,0.0
1779362384.439913568,1779361851.125356913,64,9,Bias,501,41.987859917596865
1779362435.404282084,1779361913.237138033,68,ACTION_RESET_RESUME,0,0,0.0
1779362478.734864309,1779361957.733546019,86,11,Radial Concentric,856,22.83724072919638
1779362489.367446859,1779361957.733546019,86,11,Radial Concentric,856,22.83724072919638
1779362521.790224399,1779361994.382680893,90,ACTION_RESET_RESUME,0,0,0.0
1779362592.673688796,1779362067.378977060,107,14,Radial Concentric,904,14.868717583893371
