timestamp,pupil_hardware_timestamp,event_count,bin_count,active_model,num_bins,total_samples,current_rmse
1779900381.475561652,1779899799.292566061,10,9,Bias,371,10.838219259604571
1779900397.587286944,1779899805.148669004,12,ACTION_RESET_RESUME,0,0,0.0
1779900693.560288749,1779900107.606368065,104,ACTION_RESET_RESUME,0,0,0.0
