timestamp,event_type,amplitude_px,duration_ms,mean_velocity
1779899764.820787,Saccade,197.25946044921875,60.12,3190.0517578125
1779899764.905787,Fixation,8.945902824401855,85.0,381.2234191894531
1779899764.940909,Saccade,66.74677276611328,35.129,1904.0955810546875
1779899765.116031,Fixation,2.3561863899230957,175.123,252.27513122558594
1779899765.251165,Saccade,455.8146057128906,135.126,3587.853759765625
1779899765.426287,Fixation,5.92713737487793,175.127,476.421630859375
1779899765.456287,Saccade,36.03635787963867,30.0,1162.5760498046875
1779899765.576409,Fixation,0.6777275204658508,120.126,384.05596923828125
1779899765.626554,Saccade,123.22208404541016,50.136,2222.023681640625
1779899765.791665,Fixation,8.575212478637695,165.115,401.8101501464844
1779899765.976787,Saccade,465.3320617675781,185.127,2896.109375
1779899766.11692,Fixation,17.578351974487305,140.126,359.7129821777344
1779899766.15192,Saccade,60.166526794433594,35.0,1780.2603759765625
1779899768.164302,Fixation,32.8997688293457,2011.895,214.90086364746094
1779899768.204424,Saccade,100.64266204833984,40.124,2518.68212890625
1779899770.666702,Fixation,65.31713104248047,2462.268,182.18019104003906
1779899770.686702,Saccade,20.181581497192383,20.0,1015.7005615234375
1779899776.996949,Fixation,94.35247039794922,6310.8,167.83880615234375
1779899777.041908,Saccade,68.01631164550781,45.132,1540.161865234375
1779899782.112103,Fixation,146.5653076171875,5069.659,185.42721557617188
1779899782.152103,Saccade,87.00056457519531,40.0,2203.12744140625
1779899782.522491,Fixation,6.936647891998291,370.392,230.5011444091797
1779899782.56248,Saccade,61.2207145690918,39.986,1574.3912353515625
1779899784.009249,Fixation,31.25962257385254,1446.387,226.26593017578125
1779899784.259494,Saccade,12.117610931396484,250.252,2399.92578125
1779899784.484749,Fixation,19.91681671142578,225.251,403.09515380859375
1779899784.790005,Saccade,112.37422180175781,305.253,1394.4205322265625
1779899784.900127,Fixation,12.561843872070312,110.125,320.42962646484375
1779899784.930138,Saccade,29.556537628173828,30.011,996.8262939453125
1779899785.215383,Fixation,16.94563865661621,285.242,295.0844421386719
1779899785.260383,Saccade,65.19123077392578,45.0,1703.608642578125
1779899788.773448,Fixation,7.20214319229126,3513.278,212.93023681640625
1779899788.853581,Saccade,232.81686401367188,80.136,2843.183837890625
1779899788.963581,Fixation,11.303021430969238,110.004,287.3655700683594
1779899789.028703,Saccade,101.95150756835938,65.119,1573.6693115234375
1779899789.128671,Fixation,7.035088539123535,100.118,319.1083679199219
1779899789.153671,Saccade,27.259132385253906,25.0,1101.42529296875
1779899791.120426,Fixation,34.015830993652344,1966.765,199.63525390625
1779899791.17556,Saccade,95.33871459960938,55.126,1685.41748046875
1779899791.295693,Fixation,6.6413655281066895,120.135,293.3621520996094
1779899791.325682,Saccade,42.352989196777344,29.991,1445.300048828125
1779899793.522654,Fixation,23.91277503967285,2197.022,239.84765625
1779899793.587776,Saccade,102.52368927001953,65.12,1622.464111328125
1779899793.727899,Fixation,15.41231632232666,140.127,366.7878723144531
1779899793.747899,Saccade,18.850173950195312,20.0,926.1173095703125
1779899795.494762,Fixation,13.410980224609375,1746.647,196.13577270507812
1779899795.539751,Saccade,93.01115417480469,44.991,2208.886474609375
1779899799.298392,Fixation,17.529712677001953,3758.529,223.04017639160156
1779899799.333392,Saccade,37.823158264160156,35.0,1110.0830078125
1779899799.498525,Fixation,15.814374923706055,165.126,285.9001159667969
1779899799.753769,Saccade,710.1617431640625,255.252,3403.660400390625
1779899799.959025,Fixation,35.38505935668945,205.252,417.01031494140625
1779899799.979025,Saccade,19.087196350097656,20.0,1059.269775390625
1779899800.059025,Fixation,26.077869415283203,80.001,502.96148681640625
1779899800.319281,Saccade,909.9712524414062,260.252,4602.62890625
1779899800.529536,Fixation,31.282093048095703,210.257,351.28387451171875
1779899800.584536,Saccade,281.8136901855469,54.995,5141.9033203125
1779899800.759658,Fixation,9.908916473388672,175.126,235.01295471191406
1779899800.774781,Saccade,17.901439666748047,15.125,908.9664306640625
1779899801.980922,Fixation,29.40355110168457,1206.009,218.83224487304688
1779899802.056056,Saccade,265.0499267578125,75.13,2743.547119140625
1779899802.396422,Fixation,22.665056228637695,340.373,448.8212890625
1779899802.451422,Saccade,224.26712036132812,55.001,3571.7939453125
1779899802.661556,Fixation,5.477105617523193,210.126,385.754638671875
1779899802.956933,Saccade,22.507230758666992,295.378,2336.70068359375
1779899805.153904,Fixation,39.93803405761719,2197.016,298.05377197265625
1779899805.178904,Saccade,32.48701477050781,25.0,1176.7220458984375
1779899805.314026,Fixation,11.69292163848877,135.126,375.17169189453125
