bin_x,bin_y,gaze_x,gaze_y,err_x,err_y
9,6,470.22393798828125,307.51104736328125,-2.680017711390178,-1.0075637591212967
9,6,470.2393798828125,301.2255859375,-2.594720070587016,5.273897127944792
9,6,471.62841796875,307.67083740234375,-3.8578391411937787,-1.176354795697307
9,6,471.3548583984375,303.81195068359375,-3.463372713210333,2.3209790838452022
9,6,475.068115234375,302.3314208984375,-7.122253235949643,3.4809039365013064
9,6,470.74566650390625,310.15704345703125,-2.9554011032736867,-4.429636563138217
9,6,472.00079345703125,307.12713623046875,-4.100639267977272,-1.6598338052691588
9,6,468.69012451171875,306.52447509765625,-0.4867690566317151,-1.4448387451488998
9,6,470.7510986328125,308.115234375,-2.7193836397959217,-3.1828096416462586
9,6,471.31494140625,304.29022216796875,-3.437227536336252,0.4704803581076362
9,6,472.18511962890625,307.44573974609375,-4.268087098154012,-3.004103621813613
9,6,471.54522705078125,305.6968994140625,-3.242715239593622,-1.1295781346881313
9,6,471.92340087890625,306.65618896484375,-2.9916787247735215,-1.651268368220883
9,6,472.39898681640625,305.622802734375,-3.881873638100217,-1.6067190828992466
9,6,472.65380859375,303.17034912109375,-4.481906962681819,-0.14616462027038324
9,6,472.81109619140625,304.99139404296875,-4.518881867630057,-2.609315107452062
9,6,471.81134033203125,301.5565185546875,-3.457226256432989,0.5217549793669036
9,6,469.0966796875,302.63330078125,-0.5738444776148981,0.13578653760737325
9,6,470.1226806640625,303.46893310546875,-1.4262740852807951,-0.4898331000914027
9,6,471.9371337890625,302.91815185546875,-3.0213798830691303,-1.4438674810357384
9,6,471.56500244140625,301.24383544921875,-2.3288309800516913,-0.08504501034911982
9,6,471.92291259765625,300.48175048828125,-2.2980836174103274,1.1645447873077046
9,6,471.41510009765625,300.30914306640625,-2.13472977373317,-3.7299660391642533
9,5,469.57208251953125,299.786865234375,-1.1967465422738996,2.2235535763720122
9,5,474.3431396484375,298.469482421875,-5.086955342999772,2.164945169669977
9,5,471.86492919921875,298.06640625,-2.903608610041715,1.6161658845611555
9,5,469.9595947265625,299.928955078125,-0.8069296538705544,-1.3908081102497931
9,5,474.00830078125,295.1751708984375,-4.772689399626643,2.58427672797103
9,5,473.65301513671875,295.29736328125,-4.431172203184246,2.1397293586969113
9,5,472.92913818359375,296.51824951171875,-3.698928585699491,0.5211865819698005
9,5,472.78924560546875,295.81231689453125,-3.458714555516849,0.30660106626424977
9,5,471.54559326171875,296.00347900390625,-2.1555865975360007,-0.343784236900035
9,5,471.78289794921875,295.4281005859375,-2.0460757709586233,-0.19567505480631553
9,5,472.88641357421875,294.39373779296875,-2.9286657094405655,0.38036473739595067
9,5,472.766357421875,294.05657958984375,-2.8064073213776055,0.20211651497044159
9,5,473.8070068359375,294.62957763671875,-3.7615269417813124,-0.9064418146157891
9,5,473.926513671875,293.46417236328125,-3.84378215698149,-0.3762902554267953
9,5,475.0120849609375,293.88751220703125,-5.200386482308602,-1.1846177380983818
9,5,474.51202392578125,293.1793212890625,-4.971358483416907,-0.8614144590512183
9,5,476.2734375,294.1590576171875,-7.003805093900269,-2.2261384260978048
9,5,473.7215576171875,294.6016845703125,-4.021773553272965,-2.4288868692063943
9,5,472.5078125,294.3756103515625,-2.619576208789624,-2.3559527348381835
9,5,472.25628662109375,293.33721923828125,-2.8360024450787478,-2.4732543916354075
9,5,473.8763427734375,292.9268798828125,-4.642626217116572,-2.864485296579346
9,5,473.17559814453125,297.0260009765625,-3.9637978041309907,-7.5579627876598465
9,5,472.899169921875,294.6705322265625,-3.792927789486953,-5.496249167273447
9,5,474.5648193359375,292.7918701171875,-5.458491155236118,-4.0313985261026914
9,5,475.77960205078125,291.353515625,-6.363709464412409,-3.471246785574351
9,5,474.36602783203125,291.05206298828125,-4.8735013922949975,-3.5196718138366236
9,5,475.9244384765625,292.491455078125,-6.423956263970865,-5.264573614364167
9,5,474.74273681640625,290.7222900390625,-5.400272460403983,-3.8839235077305148
9,5,476.01348876953125,290.1400146484375,-6.243499131635588,-3.241836599345959
9,5,476.87030029296875,290.00653076171875,-6.542734759120037,-2.9772767787121097
9,5,474.85980224609375,291.94024658203125,-4.78081428878761,-6.375493025333242
9,5,475.29083251953125,291.72003173828125,-5.402728533406048,-7.099254077893079
9,5,474.90948486328125,285.10015869140625,-5.136945827204215,-0.754482256915594
9,5,468.943115234375,292.31353759765625,1.2528635870983749,-9.441748969256594
9,5,469.26959228515625,292.89849853515625,1.0444522142780102,-10.291743017805459
8,6,427.826416015625,306.3487548828125,-6.93170319894881,2.2302254984446677
8,6,428.580810546875,306.676513671875,-8.050617008923268,1.7991019283521155
8,6,428.639404296875,307.09368896484375,-8.466586078996897,1.274563618397849
8,6,427.59075927734375,307.5262451171875,-7.768856767141983,0.7310292189409324
8,6,426.23968505859375,308.6610107421875,-7.006455996965428,-0.5300436892410403
8,6,422.7828369140625,311.6705322265625,-4.171521054049492,-3.6683519748166304
8,6,422.81878662109375,309.21588134765625,-4.787506927050288,-1.33853323835649
8,6,422.42596435546875,310.85430908203125,-4.7464114679480645,-3.013199144086741
8,6,422.138671875,311.3699951171875,-4.612572817299338,-3.4878660432764264
8,6,420.38580322265625,309.90435791015625,-3.401673980207647,-1.9723650004201545
8,6,421.55706787109375,309.28436279296875,-5.156018817313338,-1.2989835715691243
8,6,414.9666748046875,312.41607666015625,0.9220314268196148,-4.368590214461108
8,6,419.2039794921875,311.18255615234375,-3.7807566568910715,-3.085051331111856
8,6,416.72332763671875,312.07373046875,-1.7201967912124019,-3.9371281487872807
8,6,418.45465087890625,310.402587890625,-3.7926346414843124,-1.8790492112370316
8,6,418.10321044921875,309.17828369140625,-3.783069974220666,-0.32389535341297915
8,6,418.22967529296875,308.318359375,-4.296765450221642,0.469167135449311
8,6,415.46612548828125,307.55035400390625,-1.778126297259064,1.255125896862694
8,6,416.7408447265625,308.7454833984375,-3.194521087069461,0.05207827250569608
8,6,415.27032470703125,303.5682373046875,-2.2214431873135823,4.771109756766862
8,6,414.833251953125,306.034423828125,-2.2818125531827604,1.8467086238405273
8,6,414.86181640625,304.3973388671875,-2.9256043876522426,2.9384813913055154
8,6,415.2724609375,304.33184814453125,-3.7993018537376315,3.0938650575380393
8,6,415.23834228515625,304.27886962890625,-4.191102914155238,3.168755640068582
8,6,416.26959228515625,304.82305908203125,-5.682858559194301,2.617783527296524
8,6,416.3538818359375,301.61578369140625,-6.132944306365516,5.930302455142964
8,6,415.4298095703125,302.70758056640625,-5.64270144132837,4.891134938034384
8,6,417.2471923828125,303.4290771484375,-7.786543682718332,4.130441034764374
8,6,414.8973388671875,302.72479248046875,-5.659782573897644,4.709775838899077
8,6,414.7625732421875,301.76861572265625,-5.763640792806996,5.573800240698461
8,6,414.05218505859375,300.263671875,-5.386024905978331,7.132143027956943
8,6,414.98614501953125,303.124267578125,-6.935815218758194,4.566438779448617
8,6,416.53094482421875,302.63543701171875,-8.73309932855517,5.026166798451868
8,6,417.80303955078125,303.7669677734375,-10.673748046314586,4.024758698614846
8,6,416.281494140625,303.16888427734375,-9.687043278794533,4.7269398278372705
8,6,414.3272705078125,301.18341064453125,-8.236777020508896,6.785124295642333
8,6,415.61505126953125,304.29205322265625,-9.859589359242875,3.5766438706392023
8,6,413.2347412109375,301.517578125,-7.981240694629037,6.12287925013635
8,6,411.68023681640625,300.1475830078125,-7.054660630753062,7.357447423293706
