timestamp,pupil_hardware_timestamp,event_count,active_model,Raw,Bias,Linear,Radial Concentric,Simple Radial,Radial Complete,Conic
1774881345.776448577,1774880858.199888944,0,Bias,35.050939888771374,35.050939888771374,35.050939888771374,35.050939888771374,35.050939888771374,35.050939888771374,35.050939888771374
1774881346.989639992,1774880859.431411981,1,Bias,33.71370994271783,33.44423264245975,33.44423264245975,33.44423264245975,33.44423264245975,33.44423264245975,33.44423264245975
1774881347.660211174,1774880859.681535005,2,Bias,33.701517972189315,27.270537913217197,27.270537913217197,27.270537913217197,27.270537913217197,27.270537913217197,27.270537913217197
1774881348.205723491,1774880859.806668043,3,Bias,35.59332442374141,24.227364077473116,24.227364077473116,24.227364077473116,24.227364077473116,24.227364077473116,24.227364077473116
1774881348.767150919,1774880860.532413005,4,Bias,36.873663183783435,22.781740430291915,22.781740430291915,22.781740430291915,22.781740430291915,22.781740430291915,22.781740430291915
1774881349.437276115,1774880860.757545948,5,Bias,38.40509801848968,21.50208206263855,21.50208206263855,21.50208206263855,21.50208206263855,21.50208206263855,21.50208206263855
1774881349.968656624,1774880861.478290081,6,Bias,39.59094486233081,20.108313173102175,20.108313173102175,20.108313173102175,20.108313173102175,20.108313173102175,20.108313173102175
1774881360.721780196,1774880873.208698987,7,Bias,39.87097724230984,19.420669153041036,19.420669153041036,19.420669153041036,19.420669153041036,19.420669153041036,19.420669153041036
1774881362.402682695,1774880874.805877923,8,Bias,39.91025261738552,18.81617696069571,18.81617696069571,18.81617696069571,18.81617696069571,18.81617696069571,18.81617696069571
1774881363.633870309,1774880875.967021942,9,Bias,42.51030262369314,19.93481456972208,19.93481456972208,19.93481456972208,19.93481456972208,19.93481456972208,19.93481456972208
1774881364.550218249,1774880877.007889032,10,Bias,46.36368674519462,20.204074464157472,20.204074464157472,20.204074464157472,20.204074464157472,20.204074464157472,20.204074464157472
1774881365.133224127,1774880877.363266944,11,Bias,49.87208315675658,19.81846593388347,19.81846593388347,19.81846593388347,19.81846593388347,19.81846593388347,19.81846593388347
1774881366.943123505,1774880879.424624919,12,Bias,53.437350046445516,19.73152054155465,19.73152054155465,19.73152054155465,19.73152054155465,19.73152054155465,19.73152054155465
1774881367.740601564,1774880880.000258922,13,Bias,56.803217555965645,19.604225803203665,19.604225803203665,19.604225803203665,19.604225803203665,19.604225803203665,19.604225803203665
1774881368.175796305,1774880880.235380887,14,Bias,59.797745034311916,19.376371310622865,19.376371310622865,19.376371310622865,19.376371310622865,19.376371310622865,19.376371310622865
1774881368.688670257,1774880880.710525035,15,Bias,63.03326786236762,19.462281491821265,19.462281491821265,19.462281491821265,19.462281491821265,19.462281491821265,19.462281491821265
1774881369.138960773,1774880880.915657997,16,Bias,65.99818657603961,19.380213239635502,19.380213239635502,19.380213239635502,19.380213239635502,19.380213239635502,19.380213239635502
1774881369.598669757,1774880881.451158046,17,Bias,68.58108293557342,18.917395145892698,18.917395145892698,18.917395145892698,18.917395145892698,18.917395145892698,18.917395145892698
1774881371.133736781,1774880883.603884935,18,Bias,71.68882171608554,19.127540951051948,19.127540951051948,19.127540951051948,19.127540951051948,19.127540951051948,19.127540951051948
1774881371.635497531,1774880883.949263095,19,Bias,74.45056679146195,19.002528041710292,19.002528041710292,19.002528041710292,19.002528041710292,19.002528041710292,19.002528041710292
1774881373.592270774,1774880886.076152086,20,Bias,77.00620525748678,18.723743820569844,18.723743820569844,18.723743820569844,18.723743820569844,18.723743820569844,18.723743820569844
1774881374.127052553,1774880886.326406955,21,Bias,79.4334096918208,18.31630663300215,18.31630663300215,18.31630663300215,18.31630663300215,18.31630663300215,18.31630663300215
1774881374.707646796,1774880887.057380914,22,Bias,81.61086253943071,18.063429163390452,18.063429163390452,18.063429163390452,18.063429163390452,18.063429163390452,18.063429163390452
1774881375.269799023,1774880887.697891950,23,Bias,83.84316412269662,18.006227862653812,18.006227862653812,18.006227862653812,18.006227862653812,18.006227862653812,18.006227862653812
1774881375.900398352,1774880888.163392066,24,Bias,86.21678984932869,17.96268558593861,17.96268558593861,17.96268558593861,17.96268558593861,17.96268558593861,17.96268558593861
1774881376.771392042,1774880888.463646888,25,Bias,88.87545961717684,18.248033824345242,18.248033824345242,18.248033824345242,18.248033824345242,18.248033824345242,18.248033824345242
1774881377.241090901,1774880889.129270076,26,Bias,91.46229886592477,18.56304064416561,18.56304064416561,18.56304064416561,18.56304064416561,18.56304064416561,18.56304064416561
