bin_x,bin_y,gaze_x,gaze_y,err_x,err_y
5,3,783.4715576171875,489.7160339355469,-17.47658093459745,126.32517034039313
5,3,834.6920776367188,482.746826171875,-68.6971009541287,133.294378104065
5,3,804.4072265625,488.57550048828125,-38.41224987990995,127.46570378765875
5,3,796.1102294921875,488.2081604003906,-30.11525280959745,127.83304387554938
5,3,790.51806640625,486.1950988769531,-23.869853402412332,133.69380477132404
5,3,790.6873168945312,495.9520568847656,-23.663591188984128,126.14869558403109
5,3,784.48876953125,495.4894104003906,-17.21162423098167,128.10403680051206
5,3,794.2192993164062,496.1763610839844,-26.566671157288056,129.62875915671623
5,3,787.459228515625,504.76666259765625,-19.781181817119887,121.24924761476166
5,3,787.2183227539062,496.1734313964844,-19.525789715806695,129.99167499860096
5,3,798.584716796875,495.4639892578125,-30.877679783276335,130.85049495379212
5,3,812.4017333984375,495.4073486328125,-44.68019240933961,131.0565133953113
5,3,781.2133178710938,482.4855041503906,-13.47727290649675,144.12773569425235
5,3,807.8237915039062,495.9037170410156,-40.07324083479989,130.85891842738693
5,3,789.1776123046875,492.0981750488281,-21.412557660081916,134.81383823609372
5,3,798.27099609375,484.1770324707031,-30.491437473645306,142.8843586307379
5,3,792.258544921875,487.9458923339844,-24.464482326271195,139.26487658397582
5,3,795.12548828125,491.0093688964844,-27.316921710147085,136.3507778379951
5,3,802.820556640625,492.7711486816406,-34.966246903598744,134.92252748903047
5,3,793.1800537109375,494.54443359375,-25.291352941955324,133.3983503872929
5,3,797.0587158203125,492.10504150390625,-29.12415997763219,136.16988886396382
5,3,792.5319213867188,487.4455871582031,-24.574438007189315,140.99541640308053
5,3,796.4618530273438,494.146484375,-28.48141641909217,134.4607784760683
5,3,779.1414184570312,496.1156311035156,-11.13808000380368,132.6575188445952
5,3,785.8373413085938,483.24505615234375,-17.811074771881522,145.694170948678
5,3,790.8609008789062,500.9911804199219,-22.822290217140335,128.03746004813763
5,3,798.0595092773438,493.9055480957031,-30.020898615577835,135.12309237235638
5,3,758.0010375976562,490.8617248535156,10.037573064109665,138.16691561454388
5,3,807.8285522460938,498.4473571777344,-39.789941584327835,130.58128329032513
5,3,781.0015258789062,487.4196472167969,-12.653116565359028,144.0350133604885
5,3,785.6473999023438,495.50732421875,-17.265562066728762,136.2163776882494
5,3,801.9951171875,489.1321105957031,-33.57981332884958,142.86093445842698
5,3,791.5098876953125,493.0030517578125,-23.06067258937344,139.26291972256774
5,3,797.6239013671875,487.0596618652344,-29.14125694128768,145.47535736650696
5,3,786.7554321289062,493.302490234375,-18.272135026592196,139.237781904749
5,3,794.2210693359375,485.32659912109375,-25.737772233623446,147.21367301803025
5,3,784.9264526367188,490.5564270019531,-16.443155534404696,141.98384513717087
5,3,794.5254516601562,493.58441162109375,-26.042154557842196,138.95586051803025
5,3,792.2647705078125,504.7266540527344,-23.371734336394752,131.5562847367737
5,3,788.6242065429688,496.36016845703125,-19.533016530034388,141.7095974813775
5,3,779.563232421875,497.3672180175781,-10.167632511654801,144.89670529800458
5,3,806.4137573242188,497.0272521972656,-36.96282202063719,145.99908177038344
5,3,807.7778930664062,495.2870788574219,-38.199420071847385,148.98052718866109
5,3,787.8392944335938,497.404296875,-18.23629618928203,147.09458108254978
5,3,794.4971313476562,499.88433837890625,-24.84475632557144,145.08016018975627
5,3,803.7000122070312,496.7735595703125,-33.99489295817534,148.68831448961294
5,3,768.79541015625,495.99072265625,0.9097090926059082,149.47115140367544
5,3,795.5330200195312,500.6928405761719,-25.827900770675342,144.76903348375356
5,3,787.2763061523438,496.9116516113281,-17.571186903487842,148.5502224485973
5,3,797.0137939453125,495.5772399902344,-27.308674696456592,149.88463406969106
