timestamp,pupil_hardware_timestamp,event_count,active_model,Raw,Bias,Linear,Radial Concentric,Simple Radial,Radial Complete,Conic
1774880802.612550083,1774880314.968427896,0,Bias,42.57573132747067,6.933301560732307,6.933301560732307,6.933301560732307,6.933301560732307,6.933301560732307,6.933301560732307
1774880803.649597095,1774880315.548775911,1,Bias,44.05197528408657,43.82669995165896,43.82669995165896,43.82669995165896,43.82669995165896,43.82669995165896,43.82669995165896
1774880805.412794663,1774880317.780797958,2,Bias,39.99530708099471,39.44743130265052,39.44743130265052,39.44743130265052,39.44743130265052,39.44743130265052,39.44743130265052
1774880807.129153415,1774880319.537935972,3,Bias,36.046844355933956,32.926191110107695,32.926191110107695,32.926191110107695,32.926191110107695,32.926191110107695,32.926191110107695
1774880808.700804463,1774880321.069335937,4,Bias,34.53646563250855,13.997970999536854,13.997970999536854,13.997970999536854,13.997970999536854,13.997970999536854,13.997970999536854
1774880810.503505637,1774880322.885643959,5,Bias,28.574210884154265,12.420331062933581,12.420331062933581,12.420331062933581,12.420331062933581,12.420331062933581,12.420331062933581
1774880812.064453500,1774880324.387032985,6,Bias,25.58329572491711,11.924751070243845,11.924751070243845,11.924751070243845,11.924751070243845,11.924751070243845,11.924751070243845
1774880825.743217012,1774880338.104510068,7,Bias,30.751818650135693,16.35307064023,16.35307064023,16.35307064023,16.35307064023,16.35307064023,16.35307064023
1774880828.759442864,1774880341.212543010,8,Bias,33.66531166947172,17.58336240124318,17.58336240124318,17.58336240124318,17.58336240124318,17.58336240124318,17.58336240124318
1774880830.952707105,1774880343.354919910,9,Linear,34.504588416409206,17.03636227324397,11.332713052725898,15.552276626123355,15.625479532800021,17.03636227324397,17.03636227324397
1774880832.301175813,1774880344.611053943,10,Linear,37.414979880971,18.18981240792725,13.778239861050652,17.88861149445649,16.980364743432528,18.18981240792725,18.18981240792725
1774880838.797978404,1774880351.102098941,11,Linear,38.316472045837536,15.811883662317811,13.267752707612539,15.105798809438133,15.18489050670693,15.811883662317811,15.811883662317811
1774880848.090383332,1774880360.421051979,12,Linear,46.65286634966309,14.420456944422872,12.721276308585663,14.020178548039508,14.15810143951713,14.420456944422872,14.420456944422872
1774880851.703589784,1774880363.983391046,13,Linear,49.983560413694846,15.553830849858175,13.099107478552947,14.790665265723476,15.225767694645029,15.553830849858175,15.553830849858175
1774880870.936562601,1774880383.176676034,14,Linear,44.61486045582474,13.317503597962437,11.664298624597805,12.335265938935384,13.14353156669544,13.317503597962437,13.317503597962437
1774880873.975615692,1774880386.279830932,15,Linear,44.80688388382109,11.182100824234004,9.991675714884602,10.512068779392237,10.9751311785889,11.182100824234004,11.182100824234004
1774880876.658721101,1774880389.000802993,16,Linear,50.14943409482148,11.816425543541648,9.499394905196679,12.559976514408355,11.131753458732742,11.816425543541648,11.816425543541648
1774880877.908908915,1774880390.352046966,17,Linear,49.0943128382813,15.306495116451106,12.854243815299002,16.03394391862356,14.61569551101176,15.306495116451106,15.306495116451106
1774880880.085525425,1774880392.483983039,18,Linear,45.21866051459924,14.391935287969707,12.798791909662896,14.380298604833039,13.782809492471323,14.391935287969707,14.391935287969707
1774880894.805553064,1774880407.162583112,19,Bias,34.43382464545533,9.18319475251789,9.18319475251789,9.18319475251789,9.18319475251789,9.18319475251789,9.18319475251789
1774880896.815260623,1774880409.179878950,20,Bias,32.980191003726425,13.457149630589864,13.457149630589864,13.457149630589864,13.457149630589864,13.457149630589864,13.457149630589864
1774880907.853745010,1774880420.260143041,21,Bias,38.307033599025196,9.142192610533892,9.142192610533892,9.142192610533892,9.142192610533892,9.142192610533892,9.142192610533892
1774880910.624517332,1774880422.917357921,22,Bias,37.89294398464534,9.375445732966657,9.375445732966657,9.375445732966657,9.375445732966657,9.375445732966657,9.375445732966657
