timestamp,pupil_hardware_timestamp,event_count,bin_count,active_model,num_bins,total_samples,current_rmse
1779896210.281589439,1779895628.828618050,53,17,Radial Concentric,720,16.45870597338284
1779896239.529627211,1779895655.142736912,65,ACTION_RESET_RESUME,0,0,0.0
1779896292.653317964,1779895698.633362055,82,10,Bias,342,9.557950360525721
1779896324.605084244,1779895733.885056019,85,ACTION_RESET_RESUME,0,0,0.0
1779896419.276672904,1779895837.226303101,118,14,Radial Concentric,489,27.01731622050382
1779896443.449685061,1779895838.662547112,119,ACTION_RESET_RESUME,0,0,0.0
1779896455.395981526,1779895873.114264011,123,3,Bias,123,10.586259915192068
1779896455.920220359,1779895873.114264011,123,3,Bias,123,10.586259915192068
1779896471.194472612,1779895886.756490946,127,ACTION_RESET_RESUME,0,0,0.0
1779896509.307356031,1779895925.162205935,139,8,Bias,314,17.047355610290126
1779896522.839455848,1779895939.460665941,142,ACTION_RESET_RESUME,0,0,0.0
1779896556.535110066,1779895970.729449034,153,9,Raw,261,27.676931360466572
1779896558.550692571,1779895970.729449034,153,9,Raw,261,27.676931360466572
1779896571.955398809,1779895987.545129061,155,ACTION_RESET_RESUME,0,0,0.0
1779896665.422297268,1779896080.245424032,196,26,Simple Radial,792,20.386814675367514
1779896677.969762864,1779896094.193766117,197,ACTION_RESET_RESUME,0,0,0.0
1779896707.654866540,1779896121.193922043,209,12,Bias,302,25.54616618666727
1779896719.133399892,1779896136.417912006,211,ACTION_RESET_RESUME,0,0,0.0
1779896743.062409973,1779896158.322832108,222,ACTION_RESET_RESUME,0,0,0.0
