timestamp,pupil_hardware_timestamp,event_count,bin_count,button_id,active_model,Raw,Bias,Linear,Radial Concentric,Simple Radial,Sigmoid X+Y,Radial Complete,Conic
1779360732.306905388,1779360214.303658009,0,1,UpHybridRe,Bias,32.806880946246295,4.9209762856289165,4.9209762856289165,4.9209762856289165,4.9209762856289165,4.9209762856289165,4.9209762856289165,4.9209762856289165
1779360735.397190141,1779360217.327078104,1,1,UpHybridRe,Bias,59.63205754753052,57.781701014351945,57.781701014351945,57.781701014351945,57.781701014351945,57.781701014351945,57.781701014351945,57.781701014351945
1779360740.478208263,1779360222.441443920,2,3,RightHybridRe,Bias,39.271096569559326,37.50773545161188,37.50773545161188,37.50773545161188,37.50773545161188,37.50773545161188,37.50773545161188,37.50773545161188
1779360743.553375618,1779360225.509042978,3,3,DownHybridRe,Bias,39.66182684713996,37.161536506819,37.161536506819,37.161536506819,37.161536506819,37.161536506819,37.161536506819,37.161536506819
1779360746.153473674,1779360228.081361055,4,3,DownHybridRe,Bias,40.005453223870795,37.494173620967835,37.494173620967835,37.494173620967835,37.494173620967835,37.494173620967835,37.494173620967835,37.494173620967835
1779360748.721706497,1779360230.668761015,5,3,FartherHybridRe,Bias,22.870038889627835,20.647007464263627,20.647007464263627,20.647007464263627,20.647007464263627,20.647007464263627,20.647007464263627,20.647007464263627
1779360749.279741094,1779360231.204905033,6,4,FartherHybridRe,Bias,41.31464507665937,41.314720879080724,41.314720879080724,41.314720879080724,41.314720879080724,41.314720879080724,41.314720879080724,41.314720879080724
1779360806.477826667,1779360288.547374010,7,6,UpHybridRe,Bias,37.0726646030432,35.56342734661448,35.56342734661448,35.42842610454381,35.56342734661448,35.56342734661448,35.56342734661448,35.56342734661448
1779360809.828063616,1779360291.825325012,8,6,UpHybridRe,Bias,36.520815782589864,34.940759196187074,34.940759196187074,34.93729793300035,34.940759196187074,34.940759196187074,34.940759196187074,34.940759196187074
1779360810.165708080,1779360292.285702944,9,6,UpHybridRe,Bias,36.67278752993352,34.63558564902487,34.63558564902487,35.05266983612268,34.63558564902487,34.63558564902487,34.63558564902487,34.63558564902487
