timestamp,pupil_hardware_timestamp,event_count,bin_count,active_model,Raw,Bias,Linear,Radial Concentric,Simple Radial,Sigmoid X+Y,Radial Complete,Conic
1774973454.365200058,1774972965.504348039,0,2,Bias,34.593999170804274,34.593999170804274,34.593999170804274,34.593999170804274,34.593999170804274,34.593999170804274,34.593999170804274,34.593999170804274
1774973489.154034227,1774973000.726448059,1,2,Bias,31.221602806365876,31.76773555750355,31.76773555750355,31.76773555750355,31.76773555750355,31.76773555750355,31.76773555750355,31.76773555750355
1774973489.781484336,1774973001.326947927,2,3,Bias,41.03713974345721,32.526524203406275,32.526524203406275,32.526524203406275,32.526524203406275,32.526524203406275,32.526524203406275,32.526524203406275
1774973497.618675697,1774973009.159185886,3,4,Bias,35.519536493430365,33.682780098870396,33.682780098870396,33.682780098870396,33.682780098870396,33.682780098870396,33.682780098870396,33.682780098870396
1774973502.695790829,1774973014.204148054,4,5,Bias,35.3798525559201,32.09881373078804,32.09881373078804,32.09881373078804,32.09881373078804,32.09881373078804,32.09881373078804,32.09881373078804
1774973518.189842862,1774973029.687846899,5,3,Bias,31.54672071038271,28.812521689439322,28.812521689439322,28.812521689439322,28.812521689439322,28.812521689439322,28.812521689439322,28.812521689439322
1774973520.664288647,1774973032.204359054,6,4,Bias,28.05594664306659,25.61330755179716,25.61330755179716,25.61330755179716,25.61330755179716,25.61330755179716,25.61330755179716,25.61330755179716
1774973522.251863732,1774973033.770735979,7,4,Bias,26.658737049659692,24.490627581214397,24.490627581214397,24.490627581214397,24.490627581214397,24.490627581214397,24.490627581214397,24.490627581214397
1774973524.122878147,1774973035.648277997,8,4,Bias,24.867958153280856,22.904879436781542,22.904879436781542,22.904879436781542,22.904879436781542,22.904879436781542,22.904879436781542,22.904879436781542
1774973530.731020717,1774973042.154088020,9,4,Bias,23.557866024731872,21.624069672940607,21.624069672940607,21.624069672940607,21.624069672940607,21.624069672940607,21.624069672940607,21.624069672940607
1774973533.819609649,1774973045.321479082,10,4,Bias,22.698419774196296,20.903541392174443,20.903541392174443,20.903541392174443,20.903541392174443,20.903541392174443,20.903541392174443,20.903541392174443
1774973536.162813768,1774973047.699193954,11,4,Bias,21.664150021716523,19.896982922214303,19.896982922214303,19.896982922214303,19.896982922214303,19.896982922214303,19.896982922214303,19.896982922214303
1774973537.761954479,1774973049.320693969,12,5,Bias,20.96048415919385,19.69262358565018,19.69262358565018,19.69262358565018,19.69262358565018,19.69262358565018,19.69262358565018,19.69262358565018
