timestamp,pupil_hardware_timestamp,event_count,active_model,num_bins,total_samples,current_rmse
1774634322.944530518,1774633835.755403995,72,Simple Radial,17,684,46.92928079327603
1774634345.885999261,1774633850.969636917,79,ACTION_RESET_RESUME,0,0,0.0
1774634362.402887179,1774633875.707406997,86,Bias,3,116,46.5817618574586
1774634382.414065166,1774633889.910842895,95,ACTION_RESET_RESUME,0,0,0.0
1774634594.089065984,1774634098.934153079,169,Linear,14,700,31.780979817110687
1774634615.845965807,1774634129.177076101,176,ACTION_RESET_RESUME,0,0,0.0
1774634673.057797449,1774634182.651278972,198,ACTION_RESET_RESUME,0,0,0.0
1774634695.243428376,1774634208.580087900,210,Bias,3,150,43.873017019548946
1774634707.430314839,1774634218.553874015,217,ACTION_RESET_RESUME,0,0,0.0
1774634716.795788901,1774634230.029485940,220,Bias,2,100,49.28266193635211
