timestamp,pupil_hardware_timestamp,event_count,active_model,Raw,Bias,Linear,Radial Concentric,Simple Radial,Radial Complete,Conic
1774951064.128280342,1774950576.508033990,0,Bias,17.911017164367436,6.1464625743430155,6.1464625743430155,6.1464625743430155,6.1464625743430155,6.1464625743430155,6.1464625743430155
1774951066.464306113,1774950578.790189027,1,Bias,16.49816227815414,5.923925254696919,5.923925254696919,5.923925254696919,5.923925254696919,5.923925254696919,5.923925254696919
1774951068.173114212,1774950580.527312994,2,Bias,24.62164169723592,10.508086723836731,10.508086723836731,10.508086723836731,10.508086723836731,10.508086723836731,10.508086723836731
1774951074.653157630,1774950586.838133096,3,Bias,21.734852076393214,17.217881238638668,15.645825502550455,23.43893513993307,16.459706688130513,17.217881238638668,17.217881238638668
1774951076.945961278,1774950589.260092973,4,Linear,23.071925109484177,22.600227242061177,18.596898172658857,23.51545735291314,21.109379519428465,22.600227242061177,22.600227242061177
1774951080.612661422,1774950592.838201045,5,Linear,23.043801608911224,22.932363752899068,18.88930134771792,20.299004534595895,20.782715371743958,22.932363752899068,22.932363752899068
1774951084.304295031,1774950596.581456899,6,Linear,21.371556364755637,20.765318212777906,16.346979075975806,17.50990551846691,18.475323248955583,20.765318212777906,20.765318212777906
1774951087.108533839,1774950599.374124050,7,Linear,20.040889444416383,18.113887403816854,14.764637075869976,15.73728371192685,15.743598525157275,18.113887403816854,18.113887403816854
1774951089.046959876,1774950601.401065111,8,Linear,21.169015660487325,18.17261479810549,15.935214567970261,15.990465921312673,16.796285343841777,18.17261479810549,18.17261479810549
1774951090.899909623,1774950603.188529968,9,Linear,22.61270706628049,20.237775237887732,16.362850621077413,18.856266646891633,16.940399509504555,20.237775237887732,20.237775237887732
1774951091.837550521,1774950604.139395952,10,Linear,22.726919704920107,20.08913341042482,16.23144792942026,18.428956136461395,16.784550516581476,20.08913341042482,20.08913341042482
1774951094.803973812,1774950606.901804924,11,Linear,24.46613366467377,27.102752755999852,22.632473222035323,34.634826459962,21.91032318540667,27.102752755999852,27.102752755999852
1774951099.229968295,1774950611.515460014,12,Linear,24.02174587902785,26.43544282818571,21.861920411715083,33.75123377609913,21.40257660049991,26.43544282818571,26.43544282818571
1774951102.108666824,1774950614.358505010,13,Linear,25.400071974932022,28.252447819382713,22.3878740789657,35.082409573549405,22.290272607337926,28.252447819382713,28.252447819382713
1774951103.590211592,1774950615.865334987,14,Linear,26.66809193154353,27.234246687420285,19.439671020272474,33.83373437724202,19.65371066129799,27.234246687420285,27.234246687420285
1774951105.389282653,1774950617.686980009,15,Linear,30.718877908241147,36.336763186674034,25.389511808674303,35.71810972282896,29.102985289890796,36.336763186674034,36.336763186674034
1774951106.618696348,1774950618.912970066,16,Linear,36.98563870889966,46.7257350966085,32.14480075005125,45.29884298356772,38.02339815938383,46.7257350966085,46.7257350966085
1774951107.683954605,1774950619.913980960,17,Linear,37.50648122424974,47.75946833650516,33.07349504925653,45.60882554263434,39.28248261396288,47.75946833650516,47.75946833650516
1774951110.868290986,1774950623.191333055,18,Linear,38.59208612594357,44.69727011635486,30.937820543761216,41.8085438016117,36.44787150440276,44.69727011635486,44.69727011635486
1774951112.296672405,1774950624.598022937,19,Linear,38.56235160067957,37.22764745518776,21.84591608068063,36.406042917318224,26.161003384330172,37.22764745518776,37.22764745518776
1774951113.016956680,1774950625.343789100,20,Linear,39.27044937501599,37.058009331083,20.986230155892823,36.50043411713762,25.407582669981338,37.058009331083,37.058009331083
1774951115.375350889,1774950627.585259914,21,Linear,33.836133233915696,30.596280640485595,19.620213302766818,32.72115992474397,22.395022476727352,30.596280640485595,30.596280640485595
1774951116.580266980,1774950628.901515007,22,Linear,35.53093930085987,32.085653855943455,19.923477637763426,34.52630740935439,23.284861358706465,32.085653855943455,32.085653855943455
1774951117.773901818,1774950629.978204011,23,Linear,38.043691149739715,33.92174094433734,20.743166162065563,36.7461690016003,24.50872199504622,33.92174094433734,33.92174094433734
1774951121.578769477,1774950633.706197977,24,Linear,37.45773157533073,34.72148833269575,31.72083962601266,34.805894560192385,33.77511781956457,34.72148833269575,34.72148833269575
1774951128.838702167,1774950641.128282070,25,Linear,40.308330690438474,37.36067833012667,34.13848914917642,36.61265122587227,36.818727323181925,37.36067833012667,37.36067833012667
1774951130.545551389,1774950642.839869976,26,Linear,39.716966070813655,37.289136162438844,34.446912928122,37.36489360403017,37.00717081296797,37.289136162438844,37.289136162438844
1774951131.934002070,1774950644.221259117,27,Linear,40.556324272961426,36.042829574915025,27.247789555084967,38.460537206785006,30.65994746829704,36.042829574915025,36.042829574915025
