timestamp,pupil_hardware_timestamp,event_count,bin_count,active_model,num_bins,total_samples,current_rmse
1781790369.144222141,1781790337.898648024,21,10,Radial Concentric,264,18.426166449644793
1781790382.709807426,1781790375.437988997,27,ACTION_RESET_RESUME,0,0,0.0
1781790510.906308094,1781790500.393126965,79,ACTION_RESET_RESUME,0,0,0.0
