timestamp,pupil_hardware_timestamp,event_count,bin_count,active_model,num_bins,total_samples,current_rmse
1781877640.339658779,1781877634.655097008,26,17,Radial Concentric,559,23.002569403069398
1781877652.029335889,1781877641.325927019,34,ACTION_RESET_RESUME,0,0,0.0
1781877755.291234194,1781877744.146363974,102,30,Simple Radial,1021,23.831979891104204
1781877765.819519935,1781877758.189445019,106,ACTION_RESET_RESUME,0,0,0.0
1781877815.127217322,1781877808.786007881,144,14,Radial Concentric,487,22.810614211339924
1781877825.653841532,1781877816.682833910,146,ACTION_RESET_RESUME,0,0,0.0
1781877939.970636602,1781877918.762717009,218,22,Radial Concentric,678,19.042599627409267
1781877951.017545432,1781877943.881086111,221,ACTION_RESET_RESUME,0,0,0.0
1781878054.977512421,1781878047.536099911,289,19,Simple Radial,817,21.112479600498595
1781878066.781643117,1781878057.275866985,292,ACTION_RESET_RESUME,0,0,0.0
1781878150.938343907,1781878141.953973055,347,ACTION_RESET_RESUME,0,0,0.0
