timestamp,pupil_hardware_timestamp,event_count,bin_count,button_id,active_model,Raw,Bias,Linear,Radial Concentric,Simple Radial,Radial Complete,Conic
1779475250.512935563,1779474667.349472046,0,4,UpHybridRe,Bias,17.729737860861597,8.410887097977005,8.410887097977005,8.410887097977005,8.410887097977005,8.410887097977005,8.410887097977005
1779475252.292644705,1779474669.220839024,1,5,CloserHybridRe,Bias,16.78061083093409,10.561936048111734,10.561936048111734,9.95204651451545,10.561936048111734,10.561936048111734,10.561936048111734
1779475254.291871036,1779474671.072582960,2,10,CloserHybridRe,Radial Concentric,18.60288014447159,18.144012788388224,18.144012788388224,14.566441244579,15.614737839321787,18.144012788388224,18.144012788388224
1779475323.574497917,1779474740.451292992,3,1,UpHybridRe,Bias,13.141396534757119,8.420265645693366,8.420265645693366,8.420265645693366,8.420265645693366,8.420265645693366,8.420265645693366
1779475324.837582376,1779474741.572293043,4,2,UpHybridRe,Bias,7.208145903455809,5.4506199254093834,5.4506199254093834,5.4506199254093834,5.4506199254093834,5.4506199254093834,5.4506199254093834
1779475326.992663195,1779474743.869666100,5,3,CloserHybridRe,Bias,7.112315414500295,6.24705523448514,6.24705523448514,6.24705523448514,6.24705523448514,6.24705523448514,6.24705523448514
1779475330.458897230,1779474747.147819042,6,4,FartherHybridRe,Bias,6.492438921739318,6.216662559920576,6.216662559920576,6.216662559920576,6.216662559920576,6.216662559920576,6.216662559920576
1779475334.220145746,1779474751.056812048,7,5,FartherHybridRe,Bias,9.636133773146927,9.10128217408596,9.10128217408596,8.794544613719776,9.10128217408596,9.10128217408596,9.10128217408596
1779475337.643369086,1779474754.479521990,8,5,DownHybridRe,Bias,10.607040712346848,10.275199845630343,10.275199845630343,10.034278143646134,10.275199845630343,10.275199845630343,10.275199845630343
1779475339.287225887,1779474756.160722971,9,5,FartherHybridRe,Bias,9.148735578806566,9.23050417060085,9.23050417060085,9.162409327788302,9.23050417060085,9.23050417060085,9.23050417060085
1779475339.785995527,1779474756.721234083,10,5,FartherHybridRe,Bias,9.148735578806566,9.23050417060085,9.23050417060085,9.162409327788302,9.23050417060085,9.23050417060085,9.23050417060085
