timestamp,pupil_hardware_timestamp,event_count,bin_count,active_model,num_bins,total_samples,current_rmse
1781799322.142728712,1781799315.624835968,9,13,Bias,436,13.230570353786574
1781799333.061353260,1781799328.195605993,14,ACTION_RESET_RESUME,0,0,0.0
1781799397.054159267,1781799393.546322107,68,31,Simple Radial,867,30.71845284681061
1781799408.613397800,1781799400.102360010,70,ACTION_RESET_RESUME,0,0,0.0
1781799482.686559958,1781799477.338862896,127,20,Linear,619,22.780286012469283
1781799494.047219784,1781799483.028538942,128,ACTION_RESET_RESUME,0,0,0.0
1781799539.273597004,1781799535.827694893,158,12,Radial Concentric,484,22.381278028467523
1781799550.566864519,1781799545.391191959,160,ACTION_RESET_RESUME,0,0,0.0
1781799637.408957664,1781799630.915718079,220,ACTION_RESET_RESUME,0,0,0.0
