timestamp,input_id,status,button_status,percent
timestamp,x,y,z
timestamp,LX,LY,RX,RY,LT,RT,DPAD_X,DPAD_Y,A,B,X,Y,LB,RB,LT,RT,BACK,START,LS,RS,UP,DOWN,LEFT,RIGHT
2024-08-07 17:49:56.284382,S1Y_-1,active,0,1.0
2024-08-07 17:49:56.284382,TR,inactive,0,0.0
2024-08-07 17:49:56.336130,S1Y_-1,active,0,1.0
2024-08-07 17:49:56.336130,TR,inactive,0,0.0
2024-08-07 17:49:56.381598,S1Y_-1,active,0,1.0
2024-08-07 17:49:56.381598,TR,inactive,0,0.0
2024-08-07 17:49:56.431274,S1Y_-1,active,0,1.0
2024-08-07 17:49:56.431274,TR,inactive,0,0.0
2024-08-07 17:49:56.432798,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07 17:49:56.482276,S1Y_-1,active,0,1.0
2024-08-07 17:49:56.482276,TR,inactive,0,0.0
2024-08-07 17:49:56.483209,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07 17:49:56.536612,S1Y_-1,active,0,1.0
2024-08-07 17:49:56.536612,TR,inactive,0,0.0
2024-08-07 17:49:56.537653,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07 17:49:56.599613,S1Y_-1,active,0,1.0
2024-08-07 17:49:56.599613,TR,inactive,0,0.0
2024-08-07 17:49:56.600684,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07 17:49:56.637484,S1Y_-1,active,0,1.0
2024-08-07 17:49:56.637484,TR,inactive,0,0.0
2024-08-07 17:49:56.636311,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07 17:49:56.674676,S1Y_-1,active,0,1.0
2024-08-07 17:49:56.674676,TR,inactive,0,0.0
2024-08-07 17:49:56.673607,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07 17:49:56.693200,0.42302406311035157,0.6679974873860677,1.0
