timestamp,pupil_hardware_timestamp,event_count,bin_count,active_model,num_bins,total_samples,current_rmse
1779898789.162973080,1779898199.765263081,14,7,Bias,268,17.325708253354787
1779898820.000821185,1779898235.587990046,16,ACTION_RESET_RESUME,0,0,0.0
1779898915.342189726,1779898329.484894991,45,9,Bias,353,15.721085878477748
1779898934.397674536,1779898340.264344931,48,ACTION_RESET_RESUME,0,0,0.0
1779898944.257267527,1779898362.599644899,55,5,Bias,125,15.73052483457377
1779898971.406859661,1779898382.703332901,63,ACTION_RESET_RESUME,0,0,0.0
1779899042.609998633,1779898460.745194912,74,14,Radial Concentric,507,12.765323424466644
1779899059.744773902,1779898460.745194912,74,ACTION_RESET_RESUME,0,0,0.0
1779899076.885119805,1779898491.964374065,79,4,Bias,152,10.138147873987974
1779899093.556439354,1779898508.439541101,81,ACTION_RESET_RESUME,0,0,0.0
1779899148.184338586,1779898566.318197966,99,6,Bias,295,8.291886004388887
1779899161.192737377,1779898571.958304882,103,ACTION_RESET_RESUME,0,0,0.0
1779899255.751431632,1779898672.285516977,129,14,Radial Concentric,513,11.135072367713043
1779899268.046010346,1779898684.131347895,131,ACTION_RESET_RESUME,0,0,0.0
1779899284.847392505,1779898700.041583061,137,5,Bias,127,21.46242757351838
1779899295.822282729,1779898711.391979933,140,ACTION_RESET_RESUME,0,0,0.0
1779899367.818594985,1779898784.294610977,165,20,Simple Radial,688,11.150445398148676
1779899378.614720724,1779898795.475121975,169,ACTION_RESET_RESUME,0,0,0.0
1779899435.006374725,1779898819.461565971,175,6,Bias,131,13.742773413743256
1779899449.175523872,1779898863.072103977,176,ACTION_RESET_RESUME,0,0,0.0
1779899482.413767854,1779898885.432668924,180,3,Bias,49,23.017586607659876
1779899495.904437190,1779898909.424841881,183,ACTION_RESET_RESUME,0,0,0.0
1779899528.685366170,1779898946.959697962,191,7,Radial Concentric,280,17.2336080485836
1779899543.493790058,1779898953.335073948,196,ACTION_RESET_RESUME,0,0,0.0
1779899583.733886759,1779898996.185133934,204,ACTION_RESET_RESUME,0,0,0.0
