timestamp,pupil_hardware_timestamp,event_count,bin_count,active_model,num_bins,total_samples,current_rmse
1781021974.792933900,1781021963.685976028,50,23,Radial Concentric,868,10.150219570653068
1781021987.072025696,1781021993.424098015,55,ACTION_RESET_RESUME,0,0,0.0
1781022294.344989440,1781022299.807063103,170,47,Radial Complete,1396,18.595993528122335
1781022294.557698995,1781022299.807063103,170,47,Radial Complete,1396,18.595993528122335
1781022311.043802096,1781022315.686342955,175,ACTION_RESET_RESUME,0,0,0.0
1781022344.058405889,1781022345.859505892,185,ACTION_RESET_RESUME,0,0,0.0
