timestamp,event_type,amplitude_px,duration_ms,mean_velocity
1782143108.143106,Saccade,613.085693359375,195.262,4530.4970703125
1782143108.498351,Fixation,206.10704040527344,355.243,466.9005432128906
1782143108.758595,Saccade,83.73465728759766,260.249,2292.659912109375
1782143109.589362,Fixation,43.14841842651367,830.762,327.5419921875
1782143109.604473,Saccade,13.480926513671875,15.119,926.53466796875
1782143111.445569,Fixation,30.010408401489258,1841.636,231.0626983642578
1782143111.475569,Saccade,52.60728073120117,30.0,1398.000732421875
1782143111.620702,Fixation,25.141721725463867,145.126,482.6699523925781
1782143111.740824,Saccade,14.552885055541992,120.129,2019.86328125
1782143111.870947,Fixation,3.755056858062744,130.123,562.6723022460938
1782143111.95608,Saccade,22.029733657836914,85.125,1462.805908203125
1782143112.376458,Fixation,59.89870071411133,420.378,452.4188537597656
1782143112.53158,Saccade,483.28704833984375,155.126,5868.27734375
1782143113.487458,Fixation,436.43389892578125,955.88,576.0767211914062
1782143113.642591,Saccade,566.2105102539062,155.126,6315.6328125
1782143113.832835,Fixation,441.1600341796875,190.252,820.9005126953125
1782143113.847836,Saccade,56.546810150146484,15.0,2278.59912109375
1782143114.088332,Fixation,28.502031326293945,240.251,376.88446044921875
1782143114.103332,Saccade,17.778833389282227,15.0,1214.417724609375
1782143116.380487,Fixation,53.332515716552734,2277.155,227.95339965820312
1782143116.640598,Saccade,96.90652465820312,260.111,1834.797119140625
1782143116.805843,Fixation,29.562463760375977,165.251,528.0471801757812
1782143116.995976,Saccade,430.9501037597656,190.126,3731.842529296875
1782143117.18604,Fixation,61.38312530517578,190.251,517.8583984375
1782143117.366173,Saccade,441.3351135253906,180.126,4212.49951171875
1782143117.506295,Fixation,38.303733825683594,140.126,609.2241821289062
1782143117.541295,Saccade,45.57719039916992,35.0,1683.2994384765625
1782143118.642306,Fixation,27.69611167907715,1101.007,312.4676818847656
1782143118.867551,Saccade,188.58193969726562,225.252,2211.884033203125
1782143119.593184,Fixation,149.59408569335938,725.629,331.408203125
1782143119.653306,Saccade,166.89170837402344,60.125,2935.639404296875
1782143119.923562,Fixation,19.829509735107422,270.257,288.0280456542969
1782143119.968562,Saccade,188.05738830566406,44.995,4192.892578125
1782143120.148455,Fixation,33.806461334228516,180.126,279.00372314453125
1782143120.168577,Saccade,20.480005264282227,20.125,1000.5502319335938
1782143121.694966,Fixation,15.457013130187988,1526.384,257.7007751464844
1782143121.754966,Saccade,169.1306610107422,60.001,3257.68408203125
1782143121.870088,Fixation,12.57600212097168,115.126,337.3419189453125
1782143121.890088,Saccade,30.604488372802734,20.0,1225.723876953125
1782143124.01733,Fixation,16.400493621826172,2127.025,243.7576141357422
1782143124.367685,Saccade,10.488114356994629,350.364,2230.252197265625
1782143126.279835,Fixation,127.88316345214844,1911.762,270.03070068359375
1782143126.314835,Saccade,54.16513442993164,35.0,1541.9822998046875
1782143127.771224,Fixation,30.55376625061035,1456.384,251.96578979492188
1782143127.901346,Saccade,86.88214111328125,130.126,1296.71142578125
1782143128.016346,Fixation,17.096370697021484,115.0,404.7731018066406
1782143128.031468,Saccade,15.975953102111816,15.125,1090.318115234375
1782143128.341724,Fixation,36.66526794433594,310.256,368.9413757324219
1782143128.361724,Saccade,24.56267547607422,19.996,1326.9405517578125
1782143129.527619,Fixation,80.76009368896484,1166.141,277.5698547363281
1782143129.582608,Saccade,69.99898529052734,54.991,1256.6087646484375
1782143129.812852,Fixation,35.5173225402832,230.252,408.595458984375
1782143130.007986,Saccade,562.808837890625,195.126,4708.06884765625
1782143130.478486,Fixation,613.1530151367188,470.503,624.5802001953125
1782143130.543486,Saccade,2.847242832183838,65.0,1290.325927734375
1782143133.136029,Fixation,95.31590270996094,2592.39,264.877685546875
1782143133.451407,Saccade,544.0578002929688,315.377,4742.21142578125
1782143133.571407,Fixation,89.86571502685547,120.001,1074.4466552734375
1782143133.866785,Saccade,107.69670867919922,295.377,2242.203369140625
1782143134.001907,Fixation,127.81614685058594,135.125,695.7410888671875
1782143134.016907,Saccade,24.121719360351562,15.001,1266.9884033203125
1782143134.117041,Fixation,43.143402099609375,100.129,520.1663818359375
1782143134.162041,Saccade,69.43798065185547,44.996,2286.357666015625
1782143134.287163,Fixation,33.39447784423828,125.126,623.8626098632812
1782143134.317163,Saccade,25.946901321411133,30.0,1193.9769287109375
1782143134.572418,Fixation,23.15138816833496,255.255,523.209228515625
1782143134.592418,Saccade,26.829835891723633,19.997,1384.901611328125
1782143134.907663,Fixation,31.379480361938477,315.251,619.8834838867188
1782143135.072918,Saccade,438.1408386230469,165.251,5128.68505859375
1782143135.182919,Fixation,101.24213409423828,110.001,933.9041137695312
1782143135.283206,Saccade,402.4202575683594,100.126,5311.7939453125
1782143135.403339,Fixation,384.62115478515625,120.125,1004.7581176757812
1782143135.45334,Saccade,239.24078369140625,50.001,5602.6826171875
1782143135.648595,Fixation,33.02760696411133,195.258,805.7545776367188
1782143135.758717,Saccade,337.77435302734375,110.118,4562.55712890625
1782143138.260973,Fixation,164.24818420410156,2502.265,331.3062438964844
1782143138.290973,Saccade,69.32933044433594,30.0,2303.429931640625
1782143139.917275,Fixation,12.399465560913086,1626.509,271.2835998535156
1782143139.967397,Saccade,78.61866760253906,50.125,1692.386962890625
1782143141.128419,Fixation,11.590182304382324,1161.017,240.07640075683594
1782143141.273123,Saccade,20.202289581298828,145.116,1156.1243896484375
1782143142.609389,Fixation,24.62631607055664,1336.264,274.26361083984375
1782143142.639389,Saccade,40.45627212524414,29.994,1326.962646484375
1782143143.240012,Fixation,9.556905746459961,600.628,231.4428253173828
1782143143.260012,Saccade,20.51811981201172,20.0,1030.6588134765625
1782143143.450134,Fixation,10.033513069152832,190.126,315.2684326171875
1782143143.650389,Saccade,515.2660522460938,200.251,4139.7490234375
1782143143.815511,Fixation,324.8792419433594,165.126,820.1270141601562
1782143143.845512,Saccade,86.09395599365234,30.0,2344.92822265625
1782143144.025767,Fixation,90.61322021484375,180.251,443.26239013671875
1782143144.050767,Saccade,30.807754516601562,25.001,1479.9683837890625
1782143144.2259,Fixation,56.08499526977539,175.134,439.9294738769531
1782143144.250889,Saccade,45.401729583740234,24.992,1702.9451904296875
1782143145.437387,Fixation,46.496768951416016,1186.131,270.65283203125
1782143145.472388,Saccade,65.01756286621094,35.001,1861.91064453125
1782143145.692643,Fixation,22.86760711669922,220.251,300.9090576171875
1782143145.832765,Saccade,351.8636474609375,140.126,3408.30615234375
1782143146.133021,Fixation,230.86778259277344,300.251,727.675048828125
1782143146.273143,Saccade,451.50567626953125,140.126,4983.998046875
1782143146.443398,Fixation,347.6950988769531,170.251,986.0230712890625
1782143146.463399,Saccade,20.032751083374023,20.0,2508.879150390625
1782143146.763643,Fixation,93.0172119140625,300.252,404.7977600097656
1782143146.798643,Saccade,60.753150939941406,35.0,1632.142822265625
1782143147.578989,Fixation,21.98056983947754,780.754,281.1202697753906
1782143147.594,Saccade,14.370062828063965,15.011,917.6098022460938
1782143147.859244,Fixation,34.350894927978516,265.242,318.27972412109375
