timestamp,pupil_hardware_timestamp,event_count,bin_count,active_model,num_bins,total_samples,current_rmse
1780935152.385355639,1780934558.185247898,64,21,Radial Concentric,827,18.77174400263488
1780935169.274248780,1780934565.547075033,66,ACTION_RESET_RESUME,0,0,0.0
1780935179.821181270,1780934585.871109962,67,4,Bias,165,4.56409187789086
1780935199.499251792,1780934594.713911057,71,ACTION_RESET_RESUME,0,0,0.0
1780935615.225827051,1780935018.060611010,231,ACTION_RESET_RESUME,0,0,0.0
